,59cdb4ea5894270001463f1f
Pond12Fish6_TotalOutcome,770
Pond12Fish6_TimeLeft,390.643
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,0.893
Pond12Fish7_PondTime,74.733
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,780
Pond12Fish7_TimeLeft,376.268
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,0.888
Pond12Fish8_PondTime,92.116
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,790
Pond12Fish8_TimeLeft,358.885
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,15
Pond12Fish9_CatchTime,1.05
Pond12Fish9_PondTime,114.49
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,800
Pond12Fish9_TimeLeft,336.511
Type,RT
FishN,16
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,20
Pond12Fish10_CatchTime,1.062
Pond12Fish10_PondTime,146.866
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,810
Pond12Fish10_TimeLeft,304.135
PondEnd_LastFish,10
FishN,12
Type,RT
GiveUpTime,48.118
PondTime,194.239
TimeLeft,256.257
PondOutcome,100
TotalOutcome,810
PondStart,PondStart
PondIntroTime,19.21010841615498
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,0.804
Pond3Fish1_PondTime,8.285
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,820
Pond3Fish1_TimeLeft,228.137
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,0.996
Pond3Fish2_PondTime,14.958
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,830
Pond3Fish2_TimeLeft,221.464
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.164
Pond3Fish3_PondTime,21.938
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,840
Pond3Fish3_TimeLeft,214.484
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.857
Pond3Fish4_PondTime,29.31
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,850
Pond3Fish4_TimeLeft,207.112
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.051
Pond3Fish5_PondTime,37.144
