,5d631df192a38a0019d83f7f
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,480
Pond12Fish6_TimeLeft,714.183
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,1.851
Pond12Fish7_PondTime,70.86
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,490
Pond12Fish7_TimeLeft,701.592
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,golden
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,1.179
Pond12Fish8_PondTime,85.3
Pond12Fish8_PondOutcome,100
Pond12Fish8_TotalOutcome,510
Pond12Fish8_TimeLeft,687.152
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,1.578
Pond12Fish9_PondTime,102.709
Pond12Fish9_PondOutcome,110
Pond12Fish9_TotalOutcome,520
Pond12Fish9_TimeLeft,669.742
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,3.102
PondTime,105.58
TimeLeft,666.36
PondOutcome,110
TotalOutcome,520
PondStart,PondStart
PondIntroTime,10.23718619486317
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.271
Pond6Fish1_PondTime,7.647
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,530
Pond6Fish1_TimeLeft,647.84
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.32
Pond6Fish2_PondTime,13.599
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,540
Pond6Fish2_TimeLeft,641.888
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.755
Pond6Fish3_PondTime,19.804
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,550
Pond6Fish3_TimeLeft,635.683
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.199
Pond6Fish4_PondTime,26.234
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,560
Pond6Fish4_TimeLeft,629.252
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.218
Pond6Fish5_PondTime,32.935
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,570
Pond6Fish5_TimeLeft,622.552
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.936
Pond6Fish6_PondTime,40.214
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,580
Pond6Fish6_TimeLeft,615.273
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
