,59aef156f235c20001a1a3a4
Pond10Fish5_CatchTime,0.804
Pond10Fish5_PondTime,35.531
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,410
Pond10Fish5_TimeLeft,787.492
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,0.823
Pond10Fish6_PondTime,43.378
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,420
Pond10Fish6_TimeLeft,779.645
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,0.739
Pond10Fish7_PondTime,51.741
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,430
Pond10Fish7_TimeLeft,771.282
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.925
Pond10Fish8_PondTime,60.802
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,440
Pond10Fish8_TimeLeft,762.221
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,0.874
Pond10Fish9_PondTime,70.698
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,450
Pond10Fish9_TimeLeft,752.325
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,0.7
Pond10Fish10_PondTime,81.659
Pond10Fish10_PondOutcome,100
Pond10Fish10_TotalOutcome,460
Pond10Fish10_TimeLeft,741.364
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,golden
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,0.926
Pond10Fish11_PondTime,94.053
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,480
Pond10Fish11_TimeLeft,728.97
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,0.239
PondTime,107.863
TimeLeft,714.656
PondOutcome,120
TotalOutcome,480
PondStart,PondStart
PondIntroTime,15.772224529646337
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.932
Pond9Fish1_PondTime,7.62
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,490
Pond9Fish1_TimeLeft,690.634
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.049
Pond9Fish2_PondTime,13.546
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,500
Pond9Fish2_TimeLeft,684.708
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.754
Pond9Fish3_PondTime,19.696
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,510
Pond9Fish3_TimeLeft,678.558
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.906
Pond9Fish4_PondTime,26.076
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,520
Pond9Fish4_TimeLeft,672.178
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.835
Pond9Fish5_PondTime,32.738
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,530
