,5c1a46e47fb37900018348c5
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,1.114
Pond7Fish8_PondTime,64.386
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,500
Pond7Fish8_TimeLeft,714.932
PondEnd_LastFish,8
FishN,16
Type,RT
GiveUpTime,0.78
PondTime,64.478
TimeLeft,714.336
PondOutcome,90
TotalOutcome,500
PondStart,PondStart
PondIntroTime,10.058210592251271
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.928
Pond4Fish1_PondTime,9.269
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,510
Pond4Fish1_TimeLeft,694.4
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.919
Pond4Fish2_PondTime,17.084
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,520
Pond4Fish2_TimeLeft,686.585
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.959
Pond4Fish3_PondTime,25.452
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,530
Pond4Fish3_TimeLeft,678.217
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.237
Pond4Fish4_PondTime,34.486
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,540
Pond4Fish4_TimeLeft,669.183
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.09
Pond4Fish5_PondTime,44.353
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,550
Pond4Fish5_TimeLeft,659.316
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,golden
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.913
Pond4Fish6_PondTime,55.285
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,570
Pond4Fish6_TimeLeft,648.384
PondEnd_LastFish,6
FishN,13
Type,RT
GiveUpTime,0.69
PondTime,67.625
TimeLeft,635.541
PondOutcome,70
TotalOutcome,570
PondStart,PondStart
PondIntroTime,14.874947054777294
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,1.069
Pond9Fish1_PondTime,8.267
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,580
Pond9Fish1_TimeLeft,611.783
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.053
Pond9Fish2_PondTime,14.917
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,590
Pond9Fish2_TimeLeft,605.133
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,1.173
Pond9Fish3_PondTime,21.952
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,600
Pond9Fish3_TimeLeft,598.097
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,1.079
Pond9Fish4_PondTime,29.317
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,610
Pond9Fish4_TimeLeft,590.733
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,1.113
Pond9Fish5_PondTime,37.135
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,620
Pond9Fish5_TimeLeft,582.915
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,1.137
Pond9Fish6_PondTime,45.5
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,630
Pond9Fish6_TimeLeft,574.55
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,1.252
Pond9Fish7_PondTime,55.383
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,640
Pond9Fish7_TimeLeft,564.667
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,1.054
Pond9Fish8_PondTime,65.568
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,650
Pond9Fish8_TimeLeft,554.482
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,1.104
Pond9Fish9_PondTime,76.503
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,660
Pond9Fish9_TimeLeft,543.547
PondEnd_LastFish,9
FishN,16
Type,RT
GiveUpTime,0.933
PondTime,76.748
TimeLeft,542.799
PondOutcome,90
TotalOutcome,660
PondStart,PondStart
PondIntroTime,11.26623103627935
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,0.902
Pond1Fish1_PondTime,7.616
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,670
Pond1Fish1_TimeLeft,523.281
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.814
Pond1Fish2_PondTime,13.631
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,680
Pond1Fish2_TimeLeft,517.265
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.811
Pond1Fish3_PondTime,19.751
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,690
Pond1Fish3_TimeLeft,511.146
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.791
Pond1Fish4_PondTime,26.116
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,700
Pond1Fish4_TimeLeft,504.781
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.267
Pond1Fish5_PondTime,32.766
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,710
Pond1Fish5_TimeLeft,498.131
Type,RT
FishN,13
