,aubrey
Pond3Fish12_TimeLeft,172.495
Type,RT
FishN,18
Fish,13
Pond3Fish13_FishType,golden
Pond3Fish13_FishLatency,15
Pond3Fish13_CatchTime,1.114
Pond3Fish13_PondTime,141.869
Pond3Fish13_PondOutcome,140
Pond3Fish13_TotalOutcome,790
Pond3Fish13_TimeLeft,150.128
PondEnd_LastFish,13
FishN,16
Type,RT
GiveUpTime,1.224
PondTime,142.416
TimeLeft,149.073
PondOutcome,140
TotalOutcome,790
PondStart,PondStart
PondIntroTime,16.009478364139795
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,1.149
Pond12Fish1_PondTime,9.738
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,800
Pond12Fish1_TimeLeft,122.712
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.057
Pond12Fish2_PondTime,18.103
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,810
Pond12Fish2_TimeLeft,114.347
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,1.031
Pond12Fish3_PondTime,27.141
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,820
Pond12Fish3_TimeLeft,105.308
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,1.098
Pond12Fish4_PondTime,37.005
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,830
Pond12Fish4_TimeLeft,95.444
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,golden
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,0.935
Pond12Fish5_PondTime,47.936
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,850
Pond12Fish5_TimeLeft,84.514
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,0.89
Pond12Fish6_PondTime,60.31
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,860
Pond12Fish6_TimeLeft,72.14
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,0.915
Pond12Fish7_PondTime,74.684
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,870
Pond12Fish7_TimeLeft,57.766
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,1.087
Pond12Fish8_PondTime,92.063
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,880
Pond12Fish8_TimeLeft,40.387
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,15
Pond12Fish9_CatchTime,1.119
Pond12Fish9_PondTime,114.439
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,890
Pond12Fish9_TimeLeft,18.011
PondEnd_LastFish,9
FishN,12
Type,RT
GiveUpTime,0.71
PondTime,114.48
TimeLeft,17.465
PondOutcome,100
TotalOutcome,890
PondStart,PondStart
PondIntroTime,10.050956276245415
