,5cc2ecf5e2a25b001ad51820
Pond6Fish10_TimeLeft,741.182
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,0.954
Pond6Fish11_PondTime,82.246
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,450
Pond6Fish11_TimeLeft,731.292
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,1.053
Pond6Fish12_PondTime,93.202
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,460
Pond6Fish12_TimeLeft,720.336
Type,RT
FishN,17
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,8.571428571428571
Pond6Fish13_CatchTime,1.822
Pond6Fish13_PondTime,105.715
Pond6Fish13_PondOutcome,140
Pond6Fish13_TotalOutcome,470
Pond6Fish13_TimeLeft,707.823
PondEnd_LastFish,13
FishN,19
Type,RT
GiveUpTime,1.21
PondTime,106.824
TimeLeft,706.207
PondOutcome,140
TotalOutcome,470
PondStart,PondStart
PondIntroTime,16.9879512488842
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.988
Pond7Fish1_PondTime,8.277
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,480
Pond7Fish1_TimeLeft,680.322
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.063
Pond7Fish2_PondTime,14.947
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,490
Pond7Fish2_TimeLeft,673.653
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,golden
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.766
Pond7Fish3_PondTime,22.027
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,510
Pond7Fish3_TimeLeft,666.573
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.956
Pond7Fish4_PondTime,29.405
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,520
Pond7Fish4_TimeLeft,659.195
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,1.217
Pond7Fish5_PondTime,37.233
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,530
Pond7Fish5_TimeLeft,651.367
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,1.134
Pond7Fish6_PondTime,45.623
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,540
Pond7Fish6_TimeLeft,642.977
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.961
Pond7Fish7_PondTime,54.668
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,550
Pond7Fish7_TimeLeft,633.932
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,0.986
Pond7Fish8_PondTime,64.55
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,560
Pond7Fish8_TimeLeft,624.05
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,0.814
Pond7Fish9_PondTime,75.504
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,570
Pond7Fish9_TimeLeft,613.096
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,1.166
Pond7Fish10_PondTime,87.895
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,580
Pond7Fish10_TimeLeft,600.705
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,1.05
PondTime,88.307
TimeLeft,599.785
PondOutcome,110
TotalOutcome,580
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,1.174
PondTime,88.431
TimeLeft,599.666
PondOutcome,110
TotalOutcome,580
PondStart,PondStart
PondIntroTime,19.5165499788709
PondStart,PondStart
PondIntroTime,19.5165499788709
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,0.989
Pond5Fish2_PondTime,8.897
Pond5Fish2_PondOutcome,10
Pond5Fish2_TotalOutcome,590
Pond5Fish2_TimeLeft,570.75
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,8.898
Pond5Fish2_PondOutcome,10
Pond5Fish2_TotalOutcome,590
Pond5Fish2_TimeLeft,570.749
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,1.933
Pond5Fish4_PondTime,16.767
Pond5Fish4_PondOutcome,20
Pond5Fish4_TotalOutcome,600
Pond5Fish4_TimeLeft,562.88
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,-1
Pond5Fish5_PondTime,17
Pond5Fish5_PondOutcome,20
Pond5Fish5_TotalOutcome,600
Pond5Fish5_TimeLeft,562.647
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,0.161
Pond5Fish6_PondTime,25.155
Pond5Fish6_PondOutcome,30
Pond5Fish6_TotalOutcome,610
Pond5Fish6_TimeLeft,554.492
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,-1
Pond5Fish7_PondTime,25.972
Pond5Fish7_PondOutcome,30
Pond5Fish7_TotalOutcome,610
Pond5Fish7_TimeLeft,553.675
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,7.5
Pond5Fish8_CatchTime,1.055
Pond5Fish8_PondTime,35.085
Pond5Fish8_PondOutcome,40
Pond5Fish8_TotalOutcome,620
Pond5Fish8_TimeLeft,544.562
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,-1
Pond5Fish9_PondTime,36.92
Pond5Fish9_PondOutcome,40
Pond5Fish9_TotalOutcome,620
Pond5Fish9_TimeLeft,542.726
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,golden
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,1.061
Pond5Fish10_PondTime,47.459
Pond5Fish10_PondOutcome,60
Pond5Fish10_TotalOutcome,640
Pond5Fish10_TimeLeft,532.188
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,12
Pond5Fish11_CatchTime,0.919
Pond5Fish11_PondTime,51.304
Pond5Fish11_PondOutcome,70
Pond5Fish11_TotalOutcome,650
Pond5Fish11_TimeLeft,528.343
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,15
Pond5Fish12_CatchTime,1.057
Pond5Fish12_PondTime,64.836
Pond5Fish12_PondOutcome,80
Pond5Fish12_TotalOutcome,660
Pond5Fish12_TimeLeft,514.81
PondEnd_LastFish,12
FishN,15
Type,RT
GiveUpTime,1.199
PondTime,65.293
TimeLeft,513.847
PondOutcome,80
TotalOutcome,660
PondStart,PondStart
PondIntroTime,17.988905331585556
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,0.824
Pond10Fish1_PondTime,9.268
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,670
Pond10Fish1_TimeLeft,485.975
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,1.131
Pond10Fish2_PondTime,17.096
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,680
Pond10Fish2_TimeLeft,478.147
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,0.704
Pond10Fish3_PondTime,25.485
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,690
Pond10Fish3_TimeLeft,469.758
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,golden
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,1.085
Pond10Fish4_PondTime,34.519
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,710
Pond10Fish4_TimeLeft,460.724
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,1.338
Pond10Fish5_PondTime,44.396
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,720
Pond10Fish5_TimeLeft,450.847
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,golden
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,1.053
Pond10Fish6_PondTime,55.339
Pond10Fish6_PondOutcome,80
Pond10Fish6_TotalOutcome,740
Pond10Fish6_TimeLeft,439.904
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,golden
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,0.946
Pond10Fish7_PondTime,67.714
Pond10Fish7_PondOutcome,100
Pond10Fish7_TotalOutcome,760
Pond10Fish7_TimeLeft,427.529
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,10
Pond10Fish8_CatchTime,0.984
Pond10Fish8_PondTime,82.107
Pond10Fish8_PondOutcome,110
Pond10Fish8_TotalOutcome,770
Pond10Fish8_TimeLeft,413.136
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,12
Pond10Fish9_CatchTime,1.211
Pond10Fish9_PondTime,99.482
Pond10Fish9_PondOutcome,120
Pond10Fish9_TotalOutcome,780
Pond10Fish9_TimeLeft,395.761
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,1.156
PondTime,100.054
TimeLeft,394.679
PondOutcome,120
TotalOutcome,780
PondStart,PondStart
PondIntroTime,15.711369113996625
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.17
Pond2Fish1_PondTime,7.812
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,790
Pond2Fish1_TimeLeft,370.546
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.915
Pond2Fish2_PondTime,13.951
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,800
