,5ce5a99c0af4f10015c5b6cf
Pond12Fish10_TotalOutcome,550
Pond12Fish10_TimeLeft,591.782
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,0.922
PondTime,107.203
TimeLeft,590.917
PondOutcome,100
TotalOutcome,550
PondStart,PondStart
PondIntroTime,12.572056620847434
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,0.963
Pond1Fish1_PondTime,7.631
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,560
Pond1Fish1_TimeLeft,570.076
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,0.919
Pond1Fish2_PondTime,13.581
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,570
Pond1Fish2_TimeLeft,564.126
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,1.129
Pond1Fish3_PondTime,19.797
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,580
Pond1Fish3_TimeLeft,557.91
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,1.007
Pond1Fish4_PondTime,26.179
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,590
Pond1Fish4_TimeLeft,551.528
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,0.847
Pond1Fish5_PondTime,32.879
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,600
Pond1Fish5_TimeLeft,544.828
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,1.19
Pond1Fish6_PondTime,39.926
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,610
Pond1Fish6_TimeLeft,537.781
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,golden
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,1.949
Pond1Fish7_PondTime,47.55
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,630
Pond1Fish7_TimeLeft,530.157
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,1.034
Pond1Fish8_PondTime,55.395
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,640
Pond1Fish8_TimeLeft,522.312
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,0.922
Pond1Fish9_PondTime,63.812
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,650
Pond1Fish9_TimeLeft,513.895
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,1.166
Pond1Fish10_PondTime,72.897
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,660
Pond1Fish10_TimeLeft,504.81
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,0.897
Pond1Fish11_PondTime,82.829
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,670
Pond1Fish11_TimeLeft,494.878
Type,RT
FishN,13
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,1.436
Pond1Fish12_PondTime,93.771
Pond1Fish12_PondOutcome,130
Pond1Fish12_TotalOutcome,680
Pond1Fish12_TimeLeft,483.936
Type,RT
FishN,13
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,0.824
Pond1Fish13_PondTime,106.209
Pond1Fish13_PondOutcome,140
Pond1Fish13_TotalOutcome,690
Pond1Fish13_TimeLeft,471.498
Type,RT
FishN,13
Fish,14
Pond1Fish14_FishType,golden
Pond1Fish14_FishLatency,10
Pond1Fish14_CatchTime,0.875
Pond1Fish14_PondTime,120.626
Pond1Fish14_PondOutcome,160
