,5d485e8415055400194b707f
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.901
Pond5Fish4_PondTime,34.555
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,410
Pond5Fish4_TimeLeft,702.221
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,-1
Pond5Fish5_PondTime,44.488
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,410
Pond5Fish5_TimeLeft,692.287
PondEnd_LastFish,5
FishN,13
Type,RT
GiveUpTime,16.667
PondTime,50.331
TimeLeft,685.934
PondOutcome,40
TotalOutcome,410
PondStart,PondStart
PondIntroTime,13.338243279140443
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.643
Pond12Fish1_PondTime,8.28
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,420
Pond12Fish1_TimeLeft,663.692
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,-1
Pond12Fish2_PondTime,14.995
Pond12Fish2_PondOutcome,10
Pond12Fish2_TotalOutcome,420
Pond12Fish2_TimeLeft,656.977
