,5cb912a2e254c8001754eabd
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.194
Pond11Fish3_PondTime,21.123
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,460
Pond11Fish3_TimeLeft,804.856
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.83
Pond11Fish4_PondTime,28.267
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,470
Pond11Fish4_TimeLeft,797.712
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.767
Pond11Fish5_PondTime,35.709
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,480
Pond11Fish5_TimeLeft,790.27
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.24
Pond11Fish6_PondTime,43.53
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,490
Pond11Fish6_TimeLeft,782.449
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,1.29
Pond11Fish7_PondTime,51.914
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,500
Pond11Fish7_TimeLeft,774.065
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,1.161
Pond11Fish8_PondTime,60.952
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,510
Pond11Fish8_TimeLeft,765.027
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,golden
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,0.916
Pond11Fish9_PondTime,70.816
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,530
Pond11Fish9_TimeLeft,755.163
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,1.433
Pond11Fish10_PondTime,81.765
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,540
Pond11Fish10_TimeLeft,744.214
PondEnd_LastFish,10
FishN,17
Type,RT
GiveUpTime,0.574
PondTime,81.978
TimeLeft,743.497
PondOutcome,110
TotalOutcome,540
PondStart,PondStart
PondIntroTime,10.962390506174415
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.679
Pond6Fish1_PondTime,7.82
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,550
Pond6Fish1_TimeLeft,724.07
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.481
Pond6Fish2_PondTime,13.934
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,560
Pond6Fish2_TimeLeft,717.956
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,golden
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.246
Pond6Fish3_PondTime,20.304
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,580
Pond6Fish3_TimeLeft,711.586
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,1.661
Pond6Fish4_PondTime,26.988
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,590
Pond6Fish4_TimeLeft,704.902
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,1.113
Pond6Fish5_PondTime,33.982
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,600
Pond6Fish5_TimeLeft,697.907
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,1.03
Pond6Fish6_PondTime,41.354
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,610
Pond6Fish6_TimeLeft,690.536
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,1.006
Pond6Fish7_PondTime,49.179
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,620
Pond6Fish7_TimeLeft,682.711
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,1.258
Pond6Fish8_PondTime,57.555
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,630
Pond6Fish8_TimeLeft,674.335
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,1.43
Pond6Fish9_PondTime,66.628
