,5be72cf025507300010d8872
Pond9Fish5_TimeLeft,808.059
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,0.857
Pond9Fish6_PondTime,51.479
Pond9Fish6_PondOutcome,50
Pond9Fish6_TotalOutcome,370
Pond9Fish6_TimeLeft,798.181
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,0.898
Pond9Fish7_PondTime,62.427
Pond9Fish7_PondOutcome,60
Pond9Fish7_TotalOutcome,380
Pond9Fish7_TimeLeft,787.233
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.068
Pond9Fish8_PondTime,74.812
Pond9Fish8_PondOutcome,70
Pond9Fish8_TotalOutcome,390
Pond9Fish8_TimeLeft,774.848
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,golden
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,0.648
Pond9Fish9_PondTime,89.18
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,410
Pond9Fish9_TimeLeft,760.48
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,12
Pond9Fish10_CatchTime,0.857
Pond9Fish10_PondTime,106.551
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,420
Pond9Fish10_TimeLeft,743.109
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,4.171
PondTime,109.778
TimeLeft,739.378
PondOutcome,100
TotalOutcome,420
PondStart,PondStart
PondIntroTime,15.10727368062362
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,0.845
Pond4Fish1_PondTime,8.569
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,430
Pond4Fish1_TimeLeft,715.078
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,0.771
Pond4Fish2_PondTime,15.561
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,440
Pond4Fish2_TimeLeft,708.086
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.061
Pond4Fish3_PondTime,22.934
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,450
Pond4Fish3_TimeLeft,700.713
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,0.802
Pond4Fish4_PondTime,30.769
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,460
Pond4Fish4_TimeLeft,692.878
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,0.697
Pond4Fish5_PondTime,39.138
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,470
Pond4Fish5_TimeLeft,684.509
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,0.682
Pond4Fish6_PondTime,48.181
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,480
Pond4Fish6_TimeLeft,675.465
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,0.881
Pond4Fish7_PondTime,58.061
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,490
Pond4Fish7_TimeLeft,665.585
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,0.875
Pond4Fish8_PondTime,69.007
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,500
Pond4Fish8_TimeLeft,654.64
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,0.764
Pond4Fish9_PondTime,81.39
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,510
Pond4Fish9_TimeLeft,642.256
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,10
Pond4Fish10_CatchTime,0.658
Pond4Fish10_PondTime,95.762
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,520
Pond4Fish10_TimeLeft,627.885
Type,RT
FishN,17
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,12
Pond4Fish11_CatchTime,0.865
Pond4Fish11_PondTime,113.14
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,530
Pond4Fish11_TimeLeft,610.507
PondEnd_LastFish,11
FishN,15
Type,RT
GiveUpTime,15.492
PondTime,127.693
TimeLeft,595.452
PondOutcome,110
TotalOutcome,530
PondStart,PondStart
PondIntroTime,19.68430008040741
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,0.79
Pond12Fish1_PondTime,9.291
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,540
Pond12Fish1_TimeLeft,565.838
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,0.839
Pond12Fish2_PondTime,17.127
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,550
Pond12Fish2_TimeLeft,558.002
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.762
Pond12Fish3_PondTime,25.504
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,560
Pond12Fish3_TimeLeft,549.625
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.661
Pond12Fish4_PondTime,34.541
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,570
Pond12Fish4_TimeLeft,540.587
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,golden
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.2
Pond12Fish5_PondTime,44.421
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,590
Pond12Fish5_TimeLeft,530.708
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,0.656
Pond12Fish6_PondTime,55.385
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,600
Pond12Fish6_TimeLeft,519.744
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,0.761
Pond12Fish7_PondTime,67.763
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,610
Pond12Fish7_TimeLeft,507.366
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,1.516
Pond12Fish8_PondTime,82.14
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,620
Pond12Fish8_TimeLeft,492.989
PondEnd_LastFish,8
FishN,13
Type,RT
GiveUpTime,0.576
PondTime,99.174
TimeLeft,475.452
PondOutcome,90
TotalOutcome,620
PondStart,PondStart
PondIntroTime,14.037940707057714
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.096
Pond11Fish1_PondTime,7.817
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,630
Pond11Fish1_TimeLeft,452.971
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.162
Pond11Fish2_PondTime,13.934
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,640
Pond11Fish2_TimeLeft,446.854
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.995
Pond11Fish3_PondTime,20.308
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,650
Pond11Fish3_TimeLeft,440.48
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.921
Pond11Fish4_PondTime,26.975
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,660
Pond11Fish4_TimeLeft,433.813
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.862
Pond11Fish5_PondTime,33.968
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,670
Pond11Fish5_TimeLeft,426.82
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.085
Pond11Fish6_PondTime,41.35
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,680
Pond11Fish6_TimeLeft,419.438
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,golden
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.775
Pond11Fish7_PondTime,49.167
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,700
Pond11Fish7_TimeLeft,411.621
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,0.833
Pond11Fish8_PondTime,57.535
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,710
Pond11Fish8_TimeLeft,403.253
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,0.779
Pond11Fish9_PondTime,66.58
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,720
Pond11Fish9_TimeLeft,394.208
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,1.234
Pond11Fish10_PondTime,76.452
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,730
Pond11Fish10_TimeLeft,384.336
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,golden
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,0.639
Pond11Fish11_PondTime,87.406
Pond11Fish11_PondOutcome,130
Pond11Fish11_TotalOutcome,750
Pond11Fish11_TimeLeft,373.382
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,golden
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,0.795
Pond11Fish12_PondTime,99.788
Pond11Fish12_PondOutcome,150
Pond11Fish12_TotalOutcome,770
Pond11Fish12_TimeLeft,361
Type,RT
FishN,15
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,1.01
Pond11Fish13_PondTime,114.156
Pond11Fish13_PondOutcome,160
Pond11Fish13_TotalOutcome,780
