,5d89d199b97096000113dbd7
Pond4Fish12_TimeLeft,835.231
Type,RT
FishN,17
Fish,13
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,1.291
Pond4Fish13_PondTime,106.365
Pond4Fish13_PondOutcome,140
Pond4Fish13_TotalOutcome,410
Pond4Fish13_TimeLeft,822.8
Type,RT
FishN,17
Fish,14
Pond4Fish14_FishType,purple
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,1.039
Pond4Fish14_PondTime,120.775
Pond4Fish14_PondOutcome,150
Pond4Fish14_TotalOutcome,420
Pond4Fish14_TimeLeft,808.39
Type,RT
FishN,17
Fish,15
Pond4Fish15_FishType,golden
Pond4Fish15_FishLatency,12
Pond4Fish15_CatchTime,1.031
Pond4Fish15_PondTime,138.189
Pond4Fish15_PondOutcome,170
Pond4Fish15_TotalOutcome,440
Pond4Fish15_TimeLeft,790.977
Type,RT
FishN,17
Fish,16
Pond4Fish16_FishType,golden
Pond4Fish16_FishLatency,15
Pond4Fish16_CatchTime,0.999
Pond4Fish16_PondTime,160.64
Pond4Fish16_PondOutcome,190
Pond4Fish16_TotalOutcome,460
Pond4Fish16_TimeLeft,768.525
PondEnd_LastFish,16
FishN,19
Type,RT
GiveUpTime,1.562
PondTime,161.401
TimeLeft,767.26
PondOutcome,190
TotalOutcome,460
PondStart,PondStart
PondIntroTime,15.43310787761584
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,0.919
Pond9Fish1_PondTime,9.79
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,470
Pond9Fish1_TimeLeft,741.417
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,golden
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,0.95
Pond9Fish2_PondTime,18.258
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,490
Pond9Fish2_TimeLeft,732.949
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,0.828
Pond9Fish3_PondTime,27.35
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,500
Pond9Fish3_TimeLeft,723.857
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,0.884
Pond9Fish4_PondTime,37.307
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,510
Pond9Fish4_TimeLeft,713.9
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.113
Pond9Fish5_PondTime,48.284
