,5d17a2f44c7891001601beec
Pond11Fish6_TimeLeft,305.992
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,golden
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,1.055
Pond11Fish7_PondTime,51.552
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,810
Pond11Fish7_TimeLeft,297.626
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,1.239
Pond11Fish8_PondTime,60.583
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,820
Pond11Fish8_TimeLeft,288.595
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,golden
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,0.817
Pond11Fish9_PondTime,70.446
Pond11Fish9_PondOutcome,110
Pond11Fish9_TotalOutcome,840
Pond11Fish9_TimeLeft,278.732
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,0.967
Pond11Fish10_PondTime,81.376
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,850
Pond11Fish10_TimeLeft,267.802
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,1.414
Pond11Fish11_PondTime,93.738
Pond11Fish11_PondOutcome,130
Pond11Fish11_TotalOutcome,860
Pond11Fish11_TimeLeft,255.44
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,10
Pond11Fish12_CatchTime,0.835
Pond11Fish12_PondTime,108.1
Pond11Fish12_PondOutcome,140
Pond11Fish12_TotalOutcome,870
Pond11Fish12_TimeLeft,241.078
PondEnd_LastFish,12
FishN,17
Type,RT
GiveUpTime,16.174
PondTime,123.321
TimeLeft,225.356
PondOutcome,140
TotalOutcome,870
PondStart,PondStart
PondIntroTime,14.996126648038626
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.522
Pond8Fish1_PondTime,7.796
