,5c66cc2942faef00012849c7
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.864
Pond5Fish2_PondTime,13.533
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,590
Pond5Fish2_TimeLeft,526.317
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.837
Pond5Fish3_PondTime,19.663
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,600
Pond5Fish3_TimeLeft,520.187
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.974
Pond5Fish4_PondTime,26.029
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,610
Pond5Fish4_TimeLeft,513.821
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.99
Pond5Fish5_PondTime,32.677
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,620
Pond5Fish5_TimeLeft,507.173
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.872
Pond5Fish6_PondTime,39.659
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,630
Pond5Fish6_TimeLeft,500.19
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.001
Pond5Fish7_PondTime,47.026
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,640
Pond5Fish7_TimeLeft,492.824
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,1.822
Pond5Fish8_PondTime,54.969
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,650
Pond5Fish8_TimeLeft,484.88
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,1.027
Pond5Fish9_PondTime,63.335
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,660
Pond5Fish9_TimeLeft,476.515
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,1.446
Pond5Fish10_PondTime,72.364
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,670
Pond5Fish10_TimeLeft,467.486
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,0.948
Pond5Fish11_PondTime,82.232
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,680
Pond5Fish11_TimeLeft,457.618
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,-1
Pond5Fish12_PondTime,93.227
Pond5Fish12_PondOutcome,110
Pond5Fish12_TotalOutcome,680
Pond5Fish12_TimeLeft,446.623
Type,RT
FishN,18
Fish,13
Pond5Fish13_FishType,golden
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,1.041
Pond5Fish13_PondTime,105.593
Pond5Fish13_PondOutcome,130
Pond5Fish13_TotalOutcome,700
Pond5Fish13_TimeLeft,434.257
Type,RT
FishN,18
Fish,14
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,10
Pond5Fish14_CatchTime,2.049
Pond5Fish14_PondTime,120.002
Pond5Fish14_PondOutcome,140
Pond5Fish14_TotalOutcome,710
Pond5Fish14_TimeLeft,419.848
Type,RT
FishN,18
Fish,15
Pond5Fish15_FishType,purple
Pond5Fish15_FishLatency,12
Pond5Fish15_CatchTime,0.918
Pond5Fish15_PondTime,137.365
Pond5Fish15_PondOutcome,150
Pond5Fish15_TotalOutcome,720
Pond5Fish15_TimeLeft,402.485
Type,RT
FishN,18
Fish,16
Pond5Fish16_FishType,purple
Pond5Fish16_FishLatency,15
Pond5Fish16_CatchTime,1.469
Pond5Fish16_PondTime,159.726
Pond5Fish16_PondOutcome,160
Pond5Fish16_TotalOutcome,730
Pond5Fish16_TimeLeft,380.124
PondEnd_LastFish,16
FishN,19
Type,RT
GiveUpTime,2.893
PondTime,162.3
TimeLeft,377.047
PondOutcome,160
TotalOutcome,730
PondStart,PondStart
PondIntroTime,12.055259812623262
PondEnd_LastFish,16
FishN,18
Type,RT
GiveUpTime,12.341
PondTime,1.478
TimeLeft,362.4
PondOutcome,0
TotalOutcome,730
PondStart,PondStart
PondIntroTime,16.49570298148319
PondEnd_LastFish,16
FishN,18
Type,RT
GiveUpTime,16.114
PondTime,0.787
TimeLeft,343.98
PondOutcome,0
TotalOutcome,730
PondStart,PondStart
PondIntroTime,18.51287045283243
PondEnd_LastFish,16
FishN,16
Type,RT
GiveUpTime,17.681
PondTime,0.354
TimeLeft,323.968
PondOutcome,0
TotalOutcome,730
PondStart,PondStart
PondIntroTime,17.99113976303488
PondEnd_LastFish,16
FishN,16
Type,RT
GiveUpTime,17.397
PondTime,0.586
TimeLeft,304.24
PondOutcome,0
TotalOutcome,730
PondStart,PondStart
PondIntroTime,11.996835740283132
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,golden
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.904
Pond9Fish1_PondTime,7.801
Pond9Fish1_PondOutcome,20
Pond9Fish1_TotalOutcome,750
Pond9Fish1_TimeLeft,283.799
PondEnd_LastFish,1
FishN,18
Type,RT
GiveUpTime,0.599
PondTime,13.579
TimeLeft,277.519
PondOutcome,20
TotalOutcome,750
PondStart,PondStart
PondIntroTime,13.674116537440568
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.58
Pond8Fish1_PondTime,8.554
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,760
Pond8Fish1_TimeLeft,254.653
PondEnd_LastFish,1
FishN,15
Type,RT
GiveUpTime,5.66
PondTime,14.008
TimeLeft,248.695
PondOutcome,10
TotalOutcome,760
PondStart,PondStart
PondIntroTime,15.357410996221006
PondEnd_LastFish,1
FishN,13
Type,RT
GiveUpTime,14.765
PondTime,0.605
TimeLeft,231.625
PondOutcome,0
TotalOutcome,760
PondStart,PondStart
PondIntroTime,19.902333233039826
PondEnd_LastFish,1
FishN,16
Type,RT
GiveUpTime,19.467
PondTime,0.751
TimeLeft,209.848
PondOutcome,0
TotalOutcome,760
PondStart,PondStart
PondIntroTime,16.657905294559896
PondEnd_LastFish,1
FishN,12
Type,RT
GiveUpTime,16.246
PondTime,0.785
TimeLeft,191.287
PondOutcome,0
TotalOutcome,760
PondStart,PondStart
PondIntroTime,18.260381629224867
PondEnd_LastFish,1
FishN,19
Type,RT
GiveUpTime,18.549
PondTime,1.488
TimeLeft,170.425
PondOutcome,0
TotalOutcome,760
PondStart,PondStart
PondIntroTime,15.811146325431764
PondEnd_LastFish,1
FishN,13
Type,RT
GiveUpTime,14.874
PondTime,0.242
TimeLeft,153.224
PondOutcome,0
TotalOutcome,760
PondStart,PondStart
PondIntroTime,12.56394922034815
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.787
Pond8Fish1_PondTime,8.88
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,770
Pond8Fish1_TimeLeft,131.125
PondEnd_LastFish,1
FishN,14
Type,RT
GiveUpTime,6.048
PondTime,13.926
TimeLeft,125.576
PondOutcome,10
TotalOutcome,770
PondStart,PondStart
PondIntroTime,10.045278838369995
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,-1
Pond12Fish1_PondTime,8.63
Pond12Fish1_PondOutcome,0
Pond12Fish1_TotalOutcome,770
Pond12Fish1_TimeLeft,106.285
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.834
Pond12Fish2_PondTime,15.616
Pond12Fish2_PondOutcome,10
Pond12Fish2_TotalOutcome,780
Pond12Fish2_TimeLeft,99.299
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
