,597cb71cd4e83700016c35b2
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,1.646
Pond8Fish8_PondTime,92.042
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,700
Pond8Fish8_TimeLeft,471.512
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,1.976
PondTime,93.866
TimeLeft,469.186
PondOutcome,90
TotalOutcome,700
PondStart,PondStart
PondIntroTime,10.71059001609683
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.081
Pond6Fish1_PondTime,7.618
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,710
Pond6Fish1_TimeLeft,449.408
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,0.98
Pond6Fish2_PondTime,13.517
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,720
Pond6Fish2_TimeLeft,443.509
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,golden
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,0.919
Pond6Fish3_PondTime,19.634
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,740
Pond6Fish3_TimeLeft,437.392
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.962
Pond6Fish4_PondTime,26.002
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,750
Pond6Fish4_TimeLeft,431.024
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.001
Pond6Fish5_PondTime,32.652
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,760
Pond6Fish5_TimeLeft,424.374
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.103
Pond6Fish6_PondTime,39.637
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,770
Pond6Fish6_TimeLeft,417.389
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.218
Pond6Fish7_PondTime,47.004
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,780
Pond6Fish7_TimeLeft,410.022
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.106
Pond6Fish8_PondTime,54.82
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,790
Pond6Fish8_TimeLeft,402.206
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.238
Pond6Fish9_PondTime,63.189
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,800
Pond6Fish9_TimeLeft,393.837
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.186
Pond6Fish10_PondTime,72.222
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,810
Pond6Fish10_TimeLeft,384.804
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,1.245
Pond6Fish11_PondTime,82.09
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,820
Pond6Fish11_TimeLeft,374.936
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,1.062
Pond6Fish12_PondTime,93.026
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,830
Pond6Fish12_TimeLeft,364
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,0.829
PondTime,93.12
TimeLeft,363.403
PondOutcome,130
TotalOutcome,830
PondStart,PondStart
PondIntroTime,18.567163492552936
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,0.935
Pond3Fish1_PondTime,8.016
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,840
Pond3Fish1_TimeLeft,336.197
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.256
Pond3Fish2_PondTime,14.385
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,850
Pond3Fish2_TimeLeft,329.828
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
