,5e14318a2fc478a3fba28d4c
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,0.779
Pond5Fish4_PondTime,27.334
Pond5Fish4_PondOutcome,60
Pond5Fish4_TotalOutcome,680
Pond5Fish4_TimeLeft,520.874
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,0.794
Pond5Fish5_PondTime,34.318
Pond5Fish5_PondOutcome,70
Pond5Fish5_TotalOutcome,690
Pond5Fish5_TimeLeft,513.89
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,0.621
Pond5Fish6_PondTime,44.191
Pond5Fish6_PondOutcome,80
Pond5Fish6_TotalOutcome,700
Pond5Fish6_TimeLeft,504.017
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,0.941
Pond5Fish7_PondTime,52.884
Pond5Fish7_PondOutcome,90
Pond5Fish7_TotalOutcome,710
Pond5Fish7_TimeLeft,495.324
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,1.128
Pond5Fish8_PondTime,62.768
Pond5Fish8_PondOutcome,100
Pond5Fish8_TotalOutcome,720
Pond5Fish8_TimeLeft,485.44
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,0.818
Pond5Fish9_PondTime,71.8
Pond5Fish9_PondOutcome,110
Pond5Fish9_TotalOutcome,730
Pond5Fish9_TimeLeft,476.408
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,0.71
Pond5Fish10_PondTime,81.665
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,740
Pond5Fish10_TimeLeft,466.543
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,golden
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,-1
Pond5Fish11_PondTime,92.664
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,740
Pond5Fish11_TimeLeft,455.544
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,1.088
Pond5Fish12_PondTime,105.032
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,750
Pond5Fish12_TimeLeft,443.176
Type,RT
FishN,18
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,10
Pond5Fish13_CatchTime,0.826
Pond5Fish13_PondTime,119.398
Pond5Fish13_PondOutcome,140
Pond5Fish13_TotalOutcome,760
Pond5Fish13_TimeLeft,428.81
PondEnd_LastFish,13
FishN,18
Type,RT
GiveUpTime,0.29
PondTime,136.001
TimeLeft,411.704
PondOutcome,140
TotalOutcome,760
PondStart,PondStart
PondIntroTime,17.299909526482224
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,0.842
Pond9Fish1_PondTime,11.396
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,770
Pond9Fish1_TimeLeft,381.017
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,0.762
Pond9Fish2_PondTime,22.397
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,780
Pond9Fish2_TimeLeft,370.017
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,0.822
Pond9Fish3_PondTime,34.396
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,790
Pond9Fish3_TimeLeft,358.018
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,1.035
Pond9Fish4_PondTime,46.397
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,800
Pond9Fish4_TimeLeft,346.017
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,0.873
Pond9Fish5_PondTime,59.397
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,810
Pond9Fish5_TimeLeft,333.017
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,0.951
