,5b97683595c5ba00010ac439
Pond6Fish13_PondOutcome,140
Pond6Fish13_TotalOutcome,410
Pond6Fish13_TimeLeft,765.661
Type,RT
FishN,17
Fish,14
Pond6Fish14_FishType,purple
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,1.203
Pond6Fish14_PondTime,131.861
Pond6Fish14_PondOutcome,150
Pond6Fish14_TotalOutcome,420
Pond6Fish14_TimeLeft,748.247
PondEnd_LastFish,14
FishN,18
Type,RT
GiveUpTime,0.663
PondTime,153.925
TimeLeft,725.68
PondOutcome,150
TotalOutcome,420
PondStart,PondStart
PondIntroTime,10.441712778992951
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.886
Pond5Fish1_PondTime,8.05
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,430
Pond5Fish1_TimeLeft,706.556
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,14.273
Pond5Fish2_PondOutcome,10
Pond5Fish2_TotalOutcome,430
Pond5Fish2_TimeLeft,700.333
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,1.016
Pond5Fish3_PondTime,20.65
Pond5Fish3_PondOutcome,20
Pond5Fish3_TotalOutcome,440
Pond5Fish3_TimeLeft,693.956
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,0.626
Pond5Fish4_PondTime,27.312
Pond5Fish4_PondOutcome,30
Pond5Fish4_TotalOutcome,450
Pond5Fish4_TimeLeft,687.294
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,1.101
Pond5Fish5_PondTime,34.37
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,460
Pond5Fish5_TimeLeft,680.235
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,1.004
Pond5Fish6_PondTime,41.748
Pond5Fish6_PondOutcome,50
Pond5Fish6_TotalOutcome,470
Pond5Fish6_TimeLeft,672.858
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.109
Pond5Fish7_PondTime,49.573
Pond5Fish7_PondOutcome,60
Pond5Fish7_TotalOutcome,480
Pond5Fish7_TimeLeft,665.033
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,0.763
Pond5Fish8_PondTime,57.965
Pond5Fish8_PondOutcome,70
Pond5Fish8_TotalOutcome,490
Pond5Fish8_TimeLeft,656.641
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,-1
Pond5Fish9_PondTime,67.06
Pond5Fish9_PondOutcome,70
Pond5Fish9_TotalOutcome,490
Pond5Fish9_TimeLeft,647.546
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,0.804
Pond5Fish10_PondTime,76.959
Pond5Fish10_PondOutcome,80
Pond5Fish10_TotalOutcome,500
Pond5Fish10_TimeLeft,637.647
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,0.855
Pond5Fish11_PondTime,87.905
Pond5Fish11_PondOutcome,90
Pond5Fish11_TotalOutcome,510
Pond5Fish11_TimeLeft,626.701
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,0.81
Pond5Fish12_PondTime,100.277
Pond5Fish12_PondOutcome,100
Pond5Fish12_TotalOutcome,520
Pond5Fish12_TimeLeft,614.329
Type,RT
FishN,18
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,10
Pond5Fish13_CatchTime,1.097
Pond5Fish13_PondTime,114.665
Pond5Fish13_PondOutcome,110
Pond5Fish13_TotalOutcome,530
Pond5Fish13_TimeLeft,599.941
Type,RT
FishN,18
Fish,14
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,12
Pond5Fish14_CatchTime,1.253
Pond5Fish14_PondTime,132.071
Pond5Fish14_PondOutcome,120
Pond5Fish14_TotalOutcome,540
Pond5Fish14_TimeLeft,582.535
Type,RT
FishN,18
Fish,15
Pond5Fish15_FishType,golden
Pond5Fish15_FishLatency,15
Pond5Fish15_CatchTime,0.673
Pond5Fish15_PondTime,154.511
Pond5Fish15_PondOutcome,140
Pond5Fish15_TotalOutcome,560
Pond5Fish15_TimeLeft,560.095
Type,RT
FishN,18
Fish,16
Pond5Fish16_FishType,purple
