,5bdd094305ed110001ab31d0
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,460
Pond8Fish10_TimeLeft,606.163
Type,RT
FishN,13
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,20
Pond8Fish11_CatchTime,1.113
Pond8Fish11_PondTime,154.699
Pond8Fish11_PondOutcome,120
Pond8Fish11_TotalOutcome,470
Pond8Fish11_TimeLeft,573.769
PondEnd_LastFish,11
FishN,13
Type,RT
GiveUpTime,1.196
PondTime,155.213
TimeLeft,572.778
PondOutcome,120
TotalOutcome,470
PondEnd_LastFish,11
FishN,13
Type,RT
GiveUpTime,1.196
PondTime,155.213
TimeLeft,572.751
PondOutcome,120
TotalOutcome,470
PondStart,PondStart
PondIntroTime,14.846570477820933
PondStart,PondStart
PondIntroTime,14.846570477820933
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,1.154
Pond12Fish2_PondTime,9.32
Pond12Fish2_PondOutcome,10
Pond12Fish2_TotalOutcome,480
Pond12Fish2_TimeLeft,547.987
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,-1
Pond12Fish2_PondTime,9.322
Pond12Fish2_PondOutcome,10
Pond12Fish2_TotalOutcome,480
Pond12Fish2_TimeLeft,547.985
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,0.912
Pond12Fish4_PondTime,17.751
Pond12Fish4_PondOutcome,20
Pond12Fish4_TotalOutcome,490
Pond12Fish4_TimeLeft,539.556
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,-1
Pond12Fish4_PondTime,17.751
Pond12Fish4_PondOutcome,20
Pond12Fish4_TotalOutcome,490
Pond12Fish4_TimeLeft,539.556
Type,RT
FishN,16
Fish,6
