,5ba8a1d2c16a9c0001497a21
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,1.294
Pond10Fish6_PondTime,48.137
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,740
Pond10Fish6_TimeLeft,406.021
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,0.884
Pond10Fish7_PondTime,58.003
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,750
Pond10Fish7_TimeLeft,396.154
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,golden
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.141
Pond10Fish8_PondTime,68.937
Pond10Fish8_PondOutcome,90
Pond10Fish8_TotalOutcome,770
Pond10Fish8_TimeLeft,385.221
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.079
Pond10Fish9_PondTime,81.302
Pond10Fish9_PondOutcome,100
Pond10Fish9_TotalOutcome,780
Pond10Fish9_TimeLeft,372.856
PondEnd_LastFish,9
FishN,15
Type,RT
GiveUpTime,0.556
PondTime,95.358
TimeLeft,358.298
PondOutcome,100
TotalOutcome,780
PondStart,PondStart
PondIntroTime,16.505882737692446
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,golden
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,0.657
Pond3Fish1_PondTime,7.802
Pond3Fish1_PondOutcome,20
Pond3Fish1_TotalOutcome,800
Pond3Fish1_TimeLeft,333.367
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.405
Pond3Fish2_PondTime,13.917
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,810
Pond3Fish2_TimeLeft,327.252
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.846
Pond3Fish3_PondTime,20.282
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,820
Pond3Fish3_TimeLeft,320.887
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.803
Pond3Fish4_PondTime,26.934
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,830
Pond3Fish4_TimeLeft,314.235
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.771
Pond3Fish5_PondTime,33.917
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,840
Pond3Fish5_TimeLeft,307.252
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.925
Pond3Fish6_PondTime,41.282
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,850
Pond3Fish6_TimeLeft,299.887
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.052
Pond3Fish7_PondTime,49.099
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,860
Pond3Fish7_TimeLeft,292.07
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.006
Pond3Fish8_PondTime,57.465
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,870
Pond3Fish8_TimeLeft,283.704
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,0.787
Pond3Fish9_PondTime,66.503
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,880
Pond3Fish9_TimeLeft,274.666
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,0.889
Pond3Fish10_PondTime,76.37
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,890
Pond3Fish10_TimeLeft,264.799
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,1.067
Pond3Fish11_PondTime,87.303
Pond3Fish11_PondOutcome,120
Pond3Fish11_TotalOutcome,900
Pond3Fish11_TimeLeft,253.866
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,0.732
Pond3Fish12_PondTime,99.669
Pond3Fish12_PondOutcome,130
Pond3Fish12_TotalOutcome,910
Pond3Fish12_TimeLeft,241.5
PondEnd_LastFish,12
FishN,18
Type,RT
