,5d5f0b2e0e71190019c643f7
Pond5Fish16_FishLatency,15
Pond5Fish16_CatchTime,1.02
Pond5Fish16_PondTime,159.479
Pond5Fish16_PondOutcome,160
Pond5Fish16_TotalOutcome,480
Pond5Fish16_TimeLeft,661.977
Type,RT
FishN,18
Fish,17
Pond5Fish17_FishType,purple
Pond5Fish17_FishLatency,20
Pond5Fish17_CatchTime,1.073
Pond5Fish17_PondTime,191.848
Pond5Fish17_PondOutcome,170
Pond5Fish17_TotalOutcome,490
Pond5Fish17_TimeLeft,629.608
Type,RT
FishN,18
Fish,18
Pond5Fish18_FishType,purple
Pond5Fish18_FishLatency,30
Pond5Fish18_CatchTime,0.925
Pond5Fish18_PondTime,254.203
Pond5Fish18_PondOutcome,180
Pond5Fish18_TotalOutcome,500
Pond5Fish18_TimeLeft,567.253
Type,RT
FishN,18
Fish,19
Pond5Fish19_FishType,purple
Pond5Fish19_FishLatency,60
Pond5Fish19_CatchTime,-1
Pond5Fish19_PondTime,256.633
Pond5Fish19_PondOutcome,180
Pond5Fish19_TotalOutcome,500
Pond5Fish19_TimeLeft,564.823
PondEnd_LastFish,19
FishN,19
Type,RT
GiveUpTime,13.963
PondTime,267.297
TimeLeft,553.657
PondOutcome,180
TotalOutcome,500
PondStart,PondStart
PondIntroTime,11.422262885607779
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,golden
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.774
Pond8Fish1_PondTime,9.732
Pond8Fish1_PondOutcome,20
Pond8Fish1_TotalOutcome,520
Pond8Fish1_TimeLeft,531.234
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,golden
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.519
Pond8Fish2_PondTime,18.093
Pond8Fish2_PondOutcome,40
Pond8Fish2_TotalOutcome,540
Pond8Fish2_TimeLeft,522.873
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.822
Pond8Fish3_PondTime,27.123
Pond8Fish3_PondOutcome,50
Pond8Fish3_TotalOutcome,550
Pond8Fish3_TimeLeft,513.843
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.851
Pond8Fish4_PondTime,36.986
Pond8Fish4_PondOutcome,60
Pond8Fish4_TotalOutcome,560
Pond8Fish4_TimeLeft,503.98
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,0.984
Pond8Fish5_PondTime,47.913
Pond8Fish5_PondOutcome,70
Pond8Fish5_TotalOutcome,570
Pond8Fish5_TimeLeft,493.053
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,golden
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.553
Pond8Fish6_PondTime,60.275
Pond8Fish6_PondOutcome,90
Pond8Fish6_TotalOutcome,590
Pond8Fish6_TimeLeft,480.691
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,0.771
Pond8Fish7_PondTime,74.638
Pond8Fish7_PondOutcome,100
Pond8Fish7_TotalOutcome,600
