,5bdec43c18f1b90001744a56
Pond5Fish6_CatchTime,1.084
Pond5Fish6_PondTime,40.661
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,650
Pond5Fish6_TimeLeft,487.91
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.211
Pond5Fish7_PondTime,48.025
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,660
Pond5Fish7_TimeLeft,480.546
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,golden
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.975
Pond5Fish8_PondTime,55.839
Pond5Fish8_PondOutcome,100
Pond5Fish8_TotalOutcome,680
Pond5Fish8_TimeLeft,472.732
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.93
Pond5Fish9_PondTime,64.2
Pond5Fish9_PondOutcome,110
Pond5Fish9_TotalOutcome,690
Pond5Fish9_TimeLeft,464.37
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,0.922
Pond5Fish10_PondTime,73.232
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,700
Pond5Fish10_TimeLeft,455.339
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,1.095
Pond5Fish11_PondTime,83.096
Pond5Fish11_PondOutcome,130
Pond5Fish11_TotalOutcome,710
Pond5Fish11_TimeLeft,445.475
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.745
Pond5Fish12_PondTime,94.073
Pond5Fish12_PondOutcome,140
Pond5Fish12_TotalOutcome,720
Pond5Fish12_TimeLeft,434.498
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,0.829
PondTime,94.801
TimeLeft,433.267
PondOutcome,140
TotalOutcome,720
PondStart,PondStart
PondIntroTime,14.739413405768573
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.091
Pond12Fish1_PondTime,8.897
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,730
Pond12Fish1_TimeLeft,409.024
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,1.766
Pond12Fish2_PondTime,16.343
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,740
Pond12Fish2_TimeLeft,401.578
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,1.395
Pond12Fish3_PondTime,24.158
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,750
Pond12Fish3_TimeLeft,393.763
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,1.188
Pond12Fish4_PondTime,32.521
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,760
Pond12Fish4_TimeLeft,385.4
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,1.262
Pond12Fish5_PondTime,41.551
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,770
Pond12Fish5_TimeLeft,376.37
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,golden
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,1.046
Pond12Fish6_PondTime,51.415
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,790
Pond12Fish6_TimeLeft,366.506
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,1.046
Pond12Fish7_PondTime,62.344
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,800
Pond12Fish7_TimeLeft,355.577
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,1.626
Pond12Fish8_PondTime,74.706
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,810
Pond12Fish8_TimeLeft,343.215
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,1.163
Pond12Fish9_PondTime,89.068
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,820
Pond12Fish9_TimeLeft,328.853
PondEnd_LastFish,9
FishN,14
Type,RT
GiveUpTime,0.722
PondTime,89.154
TimeLeft,328.265
PondOutcome,100
TotalOutcome,820
PondStart,PondStart
PondIntroTime,10.079306378029287
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,-1
Pond8Fish1_PondTime,8.346
Pond8Fish1_PondOutcome,0
Pond8Fish1_TotalOutcome,820
Pond8Fish1_TimeLeft,309.214
