,5e1d3588db62ba0bc9f2e39a
Pond1Fish10_TotalOutcome,580
Pond1Fish10_TimeLeft,471.056
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,golden
Pond1Fish11_FishLatency,12
Pond1Fish11_CatchTime,1.762
Pond1Fish11_PondTime,113.836
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,600
Pond1Fish11_TimeLeft,453.623
Type,RT
FishN,13
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,15
Pond1Fish12_CatchTime,0.995
Pond1Fish12_PondTime,136.205
Pond1Fish12_PondOutcome,130
Pond1Fish12_TotalOutcome,610
Pond1Fish12_TimeLeft,431.254
PondEnd_LastFish,12
FishN,15
Type,RT
GiveUpTime,25.138
PondTime,160.541
TimeLeft,406.417
PondOutcome,130
TotalOutcome,610
PondStart,PondStart
PondIntroTime,17.638705705758184
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,1.647
Pond5Fish1_PondTime,8.269
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,620
Pond5Fish1_TimeLeft,379.882
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,14.967
Pond5Fish2_PondOutcome,10
Pond5Fish2_TotalOutcome,620
Pond5Fish2_TimeLeft,373.184
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,-1
Pond5Fish3_PondTime,22.002
Pond5Fish3_PondOutcome,10
Pond5Fish3_TotalOutcome,620
Pond5Fish3_TimeLeft,366.149
