,576ecc498445140001a36cb9
Pond3Fish11_CatchTime,1.212
Pond3Fish11_PondTime,87.299
Pond3Fish11_PondOutcome,120
Pond3Fish11_TotalOutcome,570
Pond3Fish11_TimeLeft,494.424
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,0.791
Pond3Fish12_PondTime,99.662
Pond3Fish12_PondOutcome,130
Pond3Fish12_TotalOutcome,580
Pond3Fish12_TimeLeft,482.061
Type,RT
FishN,18
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,10
Pond3Fish13_CatchTime,0.98
Pond3Fish13_PondTime,114.021
Pond3Fish13_PondOutcome,140
Pond3Fish13_TotalOutcome,590
Pond3Fish13_TimeLeft,467.702
Type,RT
FishN,18
Fish,14
Pond3Fish14_FishType,purple
Pond3Fish14_FishLatency,12
Pond3Fish14_CatchTime,0.708
Pond3Fish14_PondTime,131.387
Pond3Fish14_PondOutcome,150
Pond3Fish14_TotalOutcome,600
Pond3Fish14_TimeLeft,450.335
Type,RT
FishN,18
Fish,15
Pond3Fish15_FishType,purple
Pond3Fish15_FishLatency,15
Pond3Fish15_CatchTime,0.892
Pond3Fish15_PondTime,153.757
Pond3Fish15_PondOutcome,160
Pond3Fish15_TotalOutcome,610
Pond3Fish15_TimeLeft,427.966
Type,RT
FishN,18
Fish,16
Pond3Fish16_FishType,purple
Pond3Fish16_FishLatency,20
Pond3Fish16_CatchTime,0.871
Pond3Fish16_PondTime,186.126
Pond3Fish16_PondOutcome,170
Pond3Fish16_TotalOutcome,620
Pond3Fish16_TimeLeft,395.597
PondEnd_LastFish,16
FishN,18
Type,RT
GiveUpTime,1.193
PondTime,186.399
TimeLeft,394.821
PondOutcome,170
TotalOutcome,620
PondStart,PondStart
PondIntroTime,18.799250018782914
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.791
Pond2Fish1_PondTime,9.734
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,630
Pond2Fish1_TimeLeft,365.669
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,18.161
Pond2Fish2_PondOutcome,10
Pond2Fish2_TotalOutcome,630
Pond2Fish2_TimeLeft,357.242
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,0.84
Pond2Fish3_PondTime,27.189
Pond2Fish3_PondOutcome,20
Pond2Fish3_TotalOutcome,640
Pond2Fish3_TimeLeft,348.214
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.118
Pond2Fish4_PondTime,37.056
Pond2Fish4_PondOutcome,30
Pond2Fish4_TotalOutcome,650
Pond2Fish4_TimeLeft,338.347
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.614
Pond2Fish5_PondTime,47.992
Pond2Fish5_PondOutcome,40
Pond2Fish5_TotalOutcome,660
Pond2Fish5_TimeLeft,327.411
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,1.559
Pond2Fish6_PondTime,60.358
Pond2Fish6_PondOutcome,50
Pond2Fish6_TotalOutcome,670
Pond2Fish6_TimeLeft,315.045
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,0.765
Pond2Fish7_PondTime,74.721
Pond2Fish7_PondOutcome,60
Pond2Fish7_TotalOutcome,680
Pond2Fish7_TimeLeft,300.682
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,1.503
Pond2Fish8_PondTime,92.079
Pond2Fish8_PondOutcome,70
Pond2Fish8_TotalOutcome,690
Pond2Fish8_TimeLeft,283.324
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,15
Pond2Fish9_CatchTime,1.019
Pond2Fish9_PondTime,114.436
Pond2Fish9_PondOutcome,80
Pond2Fish9_TotalOutcome,700
Pond2Fish9_TimeLeft,260.967
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,20
Pond2Fish10_CatchTime,1.118
Pond2Fish10_PondTime,146.793
Pond2Fish10_PondOutcome,90
Pond2Fish10_TotalOutcome,710
Pond2Fish10_TimeLeft,228.61
PondEnd_LastFish,10
FishN,12
Type,RT
GiveUpTime,51.26
PondTime,197.384
TimeLeft,177.514
PondOutcome,90
TotalOutcome,710
PondStart,PondStart
PondIntroTime,19.753838684409857
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.04
Pond1Fish1_PondTime,8.279
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,720
Pond1Fish1_TimeLeft,148.844
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.24
Pond1Fish2_PondTime,14.926
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,730
Pond1Fish2_TimeLeft,142.197
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,-1
Pond1Fish3_PondTime,21.975
Pond1Fish3_PondOutcome,20
Pond1Fish3_TotalOutcome,730
Pond1Fish3_TimeLeft,135.148
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.764
Pond1Fish4_PondTime,29.41
Pond1Fish4_PondOutcome,30
Pond1Fish4_TotalOutcome,740
Pond1Fish4_TimeLeft,127.713
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,0.898
Pond1Fish5_PondTime,37.227
Pond1Fish5_PondOutcome,40
Pond1Fish5_TotalOutcome,750
Pond1Fish5_TimeLeft,119.896
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.002
Pond1Fish6_PondTime,45.595
Pond1Fish6_PondOutcome,50
Pond1Fish6_TotalOutcome,760
Pond1Fish6_TimeLeft,111.528
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,0.868
Pond1Fish7_PondTime,54.627
Pond1Fish7_PondOutcome,60
Pond1Fish7_TotalOutcome,770
Pond1Fish7_TimeLeft,102.496
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.981
Pond1Fish8_PondTime,64.488
Pond1Fish8_PondOutcome,70
Pond1Fish8_TotalOutcome,780
Pond1Fish8_TimeLeft,92.635
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,0.901
Pond1Fish9_PondTime,75.417
Pond1Fish9_PondOutcome,80
Pond1Fish9_TotalOutcome,790
Pond1Fish9_TimeLeft,81.706
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,1.102
Pond1Fish10_PondTime,87.776
Pond1Fish10_PondOutcome,90
Pond1Fish10_TotalOutcome,800
Pond1Fish10_TimeLeft,69.347
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,2.492
PondTime,89.583
TimeLeft,67.036
PondOutcome,90
TotalOutcome,800
PondStart,PondStart
PondIntroTime,14.125008597038686
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,0.926
Pond4Fish1_PondTime,9.728
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,810
Pond4Fish1_TimeLeft,42.569
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,0.972
Pond4Fish2_PondTime,18.087
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,820
Pond4Fish2_TimeLeft,34.21
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,0.949
Pond4Fish3_PondTime,27.123
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,830
Pond4Fish3_TimeLeft,25.174
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,0.981
Pond4Fish4_PondTime,36.983
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,840
Pond4Fish4_TimeLeft,15.314
Type,RT
FishN,17
