,5b5ca33f295c4b0001c294d0
TimeLeft,432.405
PondOutcome,40
TotalOutcome,660
PondStart,PondStart
PondIntroTime,12.625686023384333
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,0.883
Pond6Fish1_PondTime,8.884
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,670
Pond6Fish1_TimeLeft,409.467
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,0.609
Pond6Fish2_PondTime,16.245
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,680
Pond6Fish2_TimeLeft,402.106
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.918
Pond6Fish3_PondTime,24.054
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,690
Pond6Fish3_TimeLeft,394.297
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.838
Pond6Fish4_PondTime,32.415
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,700
Pond6Fish4_TimeLeft,385.936
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,0.954
Pond6Fish5_PondTime,41.436
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,710
Pond6Fish5_TimeLeft,376.915
PondEnd_LastFish,5
FishN,14
Type,RT
GiveUpTime,0.473
PondTime,50.906
TimeLeft,366.944
PondOutcome,50
TotalOutcome,710
PondStart,PondStart
PondIntroTime,11.878768391907215
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.012
Pond5Fish1_PondTime,11.169
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,720
Pond5Fish1_TimeLeft,341.67
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.77
Pond5Fish2_PondTime,19.524
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,730
Pond5Fish2_TimeLeft,333.315
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.745
Pond5Fish3_PondTime,28.544
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,740
Pond5Fish3_TimeLeft,324.295
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.802
Pond5Fish4_PondTime,38.408
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,750
Pond5Fish4_TimeLeft,314.431
PondEnd_LastFish,4
FishN,12
Type,RT
GiveUpTime,0.52
PondTime,48.867
TimeLeft,303.471
PondOutcome,40
TotalOutcome,750
PondStart,PondStart
PondIntroTime,12.54576089559123
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.07
Pond7Fish1_PondTime,8.885
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,760
Pond7Fish1_TimeLeft,281.43
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.891
Pond7Fish2_PondTime,16.245
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,770
Pond7Fish2_TimeLeft,274.07
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.725
Pond7Fish3_PondTime,24.056
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,780
Pond7Fish3_TimeLeft,266.259
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,-1
Pond7Fish4_PondTime,32.469
Pond7Fish4_PondOutcome,30
Pond7Fish4_TotalOutcome,780
Pond7Fish4_TimeLeft,257.846
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.072
Pond7Fish5_PondTime,41.495
Pond7Fish5_PondOutcome,40
Pond7Fish5_TotalOutcome,790
Pond7Fish5_TimeLeft,248.82
PondEnd_LastFish,5
FishN,14
Type,RT
GiveUpTime,1.772
PondTime,42.543
TimeLeft,247.27
PondOutcome,40
TotalOutcome,790
PondStart,PondStart
PondIntroTime,10.90206072665751
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.746
Pond4Fish1_PondTime,8.887
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,800
Pond4Fish1_TimeLeft,226.872
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.754
Pond4Fish2_PondTime,16.246
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,810
Pond4Fish2_TimeLeft,219.513
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.728
Pond4Fish3_PondTime,24.057
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,820
Pond4Fish3_TimeLeft,211.702
