,5a04869ff2e3460001edad2e
Pond9Fish10_TimeLeft,588.845
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,10
Pond9Fish11_CatchTime,0.678
Pond9Fish11_PondTime,102.015
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,550
Pond9Fish11_TimeLeft,574.479
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,12
Pond9Fish12_CatchTime,0.717
Pond9Fish12_PondTime,119.382
Pond9Fish12_PondOutcome,130
Pond9Fish12_TotalOutcome,560
Pond9Fish12_TimeLeft,557.112
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,11.954
PondTime,130.268
TimeLeft,545.724
PondOutcome,130
TotalOutcome,560
PondStart,PondStart
PondIntroTime,12.275325546506792
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.12
Pond1Fish1_PondTime,8.885
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,570
Pond1Fish1_TimeLeft,523.945
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.155
Pond1Fish2_PondTime,16.251
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,580
Pond1Fish2_TimeLeft,516.579
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,0.922
Pond1Fish3_PondTime,24.068
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,590
Pond1Fish3_TimeLeft,508.762
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,1.109
Pond1Fish4_PondTime,32.433
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,600
Pond1Fish4_TimeLeft,500.397
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,golden
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,1.124
Pond1Fish5_PondTime,41.467
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,620
Pond1Fish5_TimeLeft,491.363
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,0.853
Pond1Fish6_PondTime,51.333
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,630
Pond1Fish6_TimeLeft,481.497
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,0.68
Pond1Fish7_PondTime,62.268
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,640
Pond1Fish7_TimeLeft,470.562
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,golden
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,0.79
Pond1Fish8_PondTime,74.633
Pond1Fish8_PondOutcome,100
Pond1Fish8_TotalOutcome,660
Pond1Fish8_TimeLeft,458.197
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,1.001
Pond1Fish9_PondTime,89
Pond1Fish9_PondOutcome,110
Pond1Fish9_TotalOutcome,670
Pond1Fish9_TimeLeft,443.83
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,0.951
Pond1Fish10_PondTime,106.367
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,680
Pond1Fish10_TimeLeft,426.463
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,15
Pond1Fish11_CatchTime,1.164
Pond1Fish11_PondTime,128.733
Pond1Fish11_PondOutcome,130
Pond1Fish11_TotalOutcome,690
Pond1Fish11_TimeLeft,404.097
PondEnd_LastFish,11
FishN,14
Type,RT
GiveUpTime,11.928
PondTime,140.027
TimeLeft,392.299
PondOutcome,130
TotalOutcome,690
PondStart,PondStart
PondIntroTime,14.82616511406377
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,golden
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.539
Pond7Fish1_PondTime,8.017
Pond7Fish1_PondOutcome,20
Pond7Fish1_TotalOutcome,710
Pond7Fish1_TimeLeft,368.847
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,0.753
Pond7Fish2_PondTime,14.385
Pond7Fish2_PondOutcome,30
Pond7Fish2_TotalOutcome,720
Pond7Fish2_TimeLeft,362.479
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.865
Pond7Fish3_PondTime,21.033
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,730
Pond7Fish3_TimeLeft,355.831
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.12
Pond7Fish4_PondTime,28.016
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,740
Pond7Fish4_TimeLeft,348.848
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,0.874
Pond7Fish5_PondTime,35.383
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,750
Pond7Fish5_TimeLeft,341.481
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.758
Pond7Fish6_PondTime,43.2
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,760
Pond7Fish6_TimeLeft,333.664
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.837
Pond7Fish7_PondTime,51.565
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,770
Pond7Fish7_TimeLeft,325.299
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.006
Pond7Fish8_PondTime,60.599
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,780
Pond7Fish8_TimeLeft,316.265
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.915
Pond7Fish9_PondTime,70.465
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,790
Pond7Fish9_TimeLeft,306.399
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.89
Pond7Fish10_PondTime,81.399
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,800
Pond7Fish10_TimeLeft,295.465
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.365
Pond7Fish11_PondTime,93.767
Pond7Fish11_PondOutcome,120
Pond7Fish11_TotalOutcome,810
Pond7Fish11_TimeLeft,283.097
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,11.914
PondTime,105.245
TimeLeft,271.117
PondOutcome,120
TotalOutcome,810
PondStart,PondStart
PondIntroTime,10.88555752299726
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,golden
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,1.19
Pond2Fish1_PondTime,8.566
Pond2Fish1_PondOutcome,20
Pond2Fish1_TotalOutcome,830
Pond2Fish1_TimeLeft,251.049
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,0.914
Pond2Fish2_PondTime,15.549
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,840
Pond2Fish2_TimeLeft,244.066
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,golden
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,0.62
Pond2Fish3_PondTime,22.916
Pond2Fish3_PondOutcome,50
Pond2Fish3_TotalOutcome,860
Pond2Fish3_TimeLeft,236.699
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,1.216
Pond2Fish4_PondTime,30.734
Pond2Fish4_PondOutcome,60
Pond2Fish4_TotalOutcome,870
Pond2Fish4_TimeLeft,228.881
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,0.918
Pond2Fish5_PondTime,39.1
Pond2Fish5_PondOutcome,70
Pond2Fish5_TotalOutcome,880
Pond2Fish5_TimeLeft,220.515
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,1.158
Pond2Fish6_PondTime,48.132
Pond2Fish6_PondOutcome,80
Pond2Fish6_TotalOutcome,890
Pond2Fish6_TimeLeft,211.483
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,1.127
