,E
PondStart,PondStart
PondIntroTime,15.765776033513248
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,golden
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.778
Pond11Fish1_PondTime,9.74
Pond11Fish1_PondOutcome,20
Pond11Fish1_TotalOutcome,400
Pond11Fish1_TimeLeft,786.093
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.746
Pond11Fish2_PondTime,18.121
Pond11Fish2_PondOutcome,30
Pond11Fish2_TotalOutcome,410
Pond11Fish2_TimeLeft,777.712
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,-1
Pond11Fish3_PondTime,27.217
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,410
Pond11Fish3_TimeLeft,768.616
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,-1
Pond11Fish4_PondTime,37.144
Pond11Fish4_PondOutcome,30
Pond11Fish4_TotalOutcome,410
Pond11Fish4_TimeLeft,758.689
PondEnd_LastFish,4
FishN,12
Type,RT
GiveUpTime,24.816
PondTime,41.885
TimeLeft,753.443
PondOutcome,30
TotalOutcome,410
PondStart,PondStart
PondIntroTime,12.68824394326657
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,0.978
Pond1Fish1_PondTime,8.578
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,420
Pond1Fish1_TimeLeft,731.531
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,0.763
Pond1Fish2_PondTime,15.57
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,430
Pond1Fish2_TimeLeft,724.538
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,0.818
Pond1Fish3_PondTime,22.948
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,440
Pond1Fish3_TimeLeft,717.161
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,0.74
Pond1Fish4_PondTime,30.78
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,450
Pond1Fish4_TimeLeft,709.328
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.22
Pond1Fish5_PondTime,39.162
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,460
Pond1Fish5_TimeLeft,700.947
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.291
Pond1Fish6_PondTime,48.201
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,470
Pond1Fish6_TimeLeft,691.907
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,0.948
Pond1Fish7_PondTime,58.072
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,480
Pond1Fish7_TimeLeft,682.036
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,golden
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,0.652
Pond1Fish8_PondTime,69.02
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,500
Pond1Fish8_TimeLeft,671.089
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,0.939
Pond1Fish9_PondTime,81.41
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,510
Pond1Fish9_TimeLeft,658.698
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,10
Pond1Fish10_CatchTime,0.813
Pond1Fish10_PondTime,95.8
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,520
Pond1Fish10_TimeLeft,644.308
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,12
Pond1Fish11_CatchTime,1.71
Pond1Fish11_PondTime,113.198
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,530
Pond1Fish11_TimeLeft,626.911
PondEnd_LastFish,11
FishN,15
Type,RT
GiveUpTime,3.106
PondTime,116.203
TimeLeft,623.404
PondOutcome,120
TotalOutcome,530
PondStart,PondStart
PondIntroTime,12.515579792670906
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.986
Pond9Fish1_PondTime,8.045
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,540
Pond9Fish1_TimeLeft,602.212
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.988
Pond9Fish2_PondTime,14.412
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,550
Pond9Fish2_TimeLeft,595.844
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,golden
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.911
Pond9Fish3_PondTime,21.079
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,570
Pond9Fish3_TimeLeft,589.178
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.851
Pond9Fish4_PondTime,28.072
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,580
Pond9Fish4_TimeLeft,582.185
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,1.151
Pond9Fish5_PondTime,35.461
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,590
Pond9Fish5_TimeLeft,574.795
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,golden
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.804
Pond9Fish6_PondTime,43.301
Pond9Fish6_PondOutcome,80
Pond9Fish6_TotalOutcome,610
Pond9Fish6_TimeLeft,566.955
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.246
Pond9Fish7_PondTime,51.697
Pond9Fish7_PondOutcome,90
Pond9Fish7_TotalOutcome,620
