,5c13e9a2b2746e00012c4580
Pond8Fish7_PondTime,62.27
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,420
Pond8Fish7_TimeLeft,738.022
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.381
Pond8Fish8_PondTime,74.635
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,430
Pond8Fish8_TimeLeft,725.657
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,1.458
Pond8Fish9_PondTime,89.003
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,440
Pond8Fish9_TimeLeft,711.289
Type,RT
FishN,13
Fish,10
Pond8Fish10_FishType,golden
Pond8Fish10_FishLatency,12
Pond8Fish10_CatchTime,1.196
Pond8Fish10_PondTime,106.372
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,460
Pond8Fish10_TimeLeft,693.92
Type,RT
FishN,13
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,15
Pond8Fish11_CatchTime,1.205
Pond8Fish11_PondTime,128.737
Pond8Fish11_PondOutcome,130
Pond8Fish11_TotalOutcome,470
Pond8Fish11_TimeLeft,671.555
PondEnd_LastFish,11
FishN,14
Type,RT
GiveUpTime,1.508
PondTime,129.661
TimeLeft,670.13
PondOutcome,130
TotalOutcome,470
PondStart,PondStart
PondIntroTime,13.071285367477685
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.246
Pond9Fish1_PondTime,7.601
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,480
Pond9Fish1_TimeLeft,648.836
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,golden
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.511
