,5cc4e12d155841001b26c35f
Pond11Fish5_TimeLeft,626.469
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,1.107
Pond11Fish6_PondTime,48.161
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,530
Pond11Fish6_TimeLeft,617.423
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,1.757
Pond11Fish7_PondTime,58.089
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,540
Pond11Fish7_TimeLeft,607.495
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,1.046
Pond11Fish8_PondTime,69.03
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,550
Pond11Fish8_TimeLeft,596.554
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,1.139
Pond11Fish9_PondTime,81.401
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,560
Pond11Fish9_TimeLeft,584.183
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,10
Pond11Fish10_CatchTime,1.114
Pond11Fish10_PondTime,95.775
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,570
Pond11Fish10_TimeLeft,569.809
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,12
Pond11Fish11_CatchTime,1.274
Pond11Fish11_PondTime,113.156
Pond11Fish11_PondOutcome,120
Pond11Fish11_TotalOutcome,580
Pond11Fish11_TimeLeft,552.428
PondEnd_LastFish,11
FishN,15
Type,RT
GiveUpTime,7.46
PondTime,120.092
TimeLeft,544.989
PondOutcome,120
TotalOutcome,580
PondStart,PondStart
PondIntroTime,19.86476256744936
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.11
Pond3Fish1_PondTime,7.81
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,590
Pond3Fish1_TimeLeft,516.684
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.468
Pond3Fish2_PondTime,13.932
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,600
Pond3Fish2_TimeLeft,510.562
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.077
Pond3Fish3_PondTime,20.302
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,610
Pond3Fish3_TimeLeft,504.192
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.273
Pond3Fish4_PondTime,26.952
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,620
Pond3Fish4_TimeLeft,497.542
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.128
Pond3Fish5_PondTime,33.936
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,630
Pond3Fish5_TimeLeft,490.558
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.068
Pond3Fish6_PondTime,41.317
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,640
