,5da42ce2aebbe900133d9d18
Pond2Fish12_PondTime,93.227
Pond2Fish12_PondOutcome,120
Pond2Fish12_TotalOutcome,570
Pond2Fish12_TimeLeft,571.69
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,0.735
PondTime,105.291
TimeLeft,559.123
PondOutcome,120
TotalOutcome,570
PondStart,PondStart
PondIntroTime,19.923002305440605
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.229
Pond9Fish1_PondTime,8.903
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,580
Pond9Fish1_TimeLeft,529.663
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,0.741
Pond9Fish2_PondTime,16.285
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,590
Pond9Fish2_TimeLeft,522.281
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.146
Pond9Fish3_PondTime,24.119
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,600
Pond9Fish3_TimeLeft,514.447
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,golden
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,0.829
Pond9Fish4_PondTime,32.501
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,620
Pond9Fish4_TimeLeft,506.065
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,0.97
Pond9Fish5_PondTime,41.559
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,630
Pond9Fish5_TimeLeft,497.008
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.009
Pond9Fish6_PondTime,51.436
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,640
Pond9Fish6_TimeLeft,487.131
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,0.971
Pond9Fish7_PondTime,62.378
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,650
Pond9Fish7_TimeLeft,476.189
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,0.905
Pond9Fish8_PondTime,74.759
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,660
Pond9Fish8_TimeLeft,463.807
PondEnd_LastFish,8
FishN,14
Type,RT
GiveUpTime,0.614
PondTime,88.954
TimeLeft,449.105
PondOutcome,90
TotalOutcome,660
PondStart,PondStart
PondIntroTime,15.72471876628697
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,-1
Pond4Fish1_PondTime,8.346
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,670
Pond4Fish1_TimeLeft,424.406
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,1.859
Pond4Fish2_PondTime,15.169
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,680
Pond4Fish2_TimeLeft,417.583
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,golden
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,-1
Pond4Fish3_PondTime,22.225
Pond4Fish3_PondOutcome,20
Pond4Fish3_TotalOutcome,680
Pond4Fish3_TimeLeft,410.527
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,1.348
Pond4Fish4_PondTime,29.598
Pond4Fish4_PondOutcome,30
Pond4Fish4_TotalOutcome,690
Pond4Fish4_TimeLeft,403.154
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,-1
Pond4Fish5_PondTime,37.482
Pond4Fish5_PondOutcome,30
Pond4Fish5_TotalOutcome,690
