,5ba88ccbdd59150001381091
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.201
Pond5Fish5_PondTime,37.099
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,440
Pond5Fish5_TimeLeft,745.549
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.018
Pond5Fish6_PondTime,45.466
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,450
Pond5Fish6_TimeLeft,737.182
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,golden
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,0.962
Pond5Fish7_PondTime,54.498
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,470
Pond5Fish7_TimeLeft,728.15
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.111
Pond5Fish8_PondTime,64.365
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,480
Pond5Fish8_TimeLeft,718.283
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,1.073
Pond5Fish9_PondTime,75.315
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,490
Pond5Fish9_TimeLeft,707.333
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,0.93
Pond5Fish10_PondTime,87.681
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,500
Pond5Fish10_TimeLeft,694.967
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,1.412
Pond5Fish11_PondTime,102.047
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,510
Pond5Fish11_TimeLeft,680.601
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,1.215
Pond5Fish12_PondTime,119.413
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,520
Pond5Fish12_TimeLeft,663.235
Type,RT
FishN,18
Fish,13
