,5c31dbed0091e40001cc3ef9
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,0.67
Pond11Fish3_PondTime,25.465
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,800
Pond11Fish3_TimeLeft,244.204
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,0.966
Pond11Fish4_PondTime,34.497
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,810
Pond11Fish4_TimeLeft,235.172
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.351
Pond11Fish5_PondTime,44.363
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,820
Pond11Fish5_TimeLeft,225.307
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,golden
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.783
Pond11Fish6_PondTime,55.304
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,840
Pond11Fish6_TimeLeft,214.366
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,0.689
Pond11Fish7_PondTime,67.658
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,850
Pond11Fish7_TimeLeft,202.011
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,1.922
Pond11Fish8_PondTime,82.492
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,860
Pond11Fish8_TimeLeft,187.178
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,-1
Pond11Fish9_PondTime,99.922
Pond11Fish9_PondOutcome,90
Pond11Fish9_TotalOutcome,860
Pond11Fish9_TimeLeft,169.748
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,15
