,5dade76a4860f70017f70ec5
Pond3_Type,RD
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,0.817
Pond3Fish9_PondTime,104.488
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,426
Pond3Fish9_TimeLeft,675.815
Pond3_Type,RD
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,12
Pond3Fish10_CatchTime,0.911
Pond3Fish10_PondTime,121.88
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,438
Pond3Fish10_TimeLeft,658.423
Pond3_Type,RD
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,15
Pond3Fish11_CatchTime,1.121
Pond3Fish11_PondTime,144.286
Pond3Fish11_PondOutcome,122
Pond3Fish11_TotalOutcome,450
Pond3Fish11_TimeLeft,636.017
Pond3_Type,RD
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,20
Pond3Fish12_CatchTime,0.817
Pond3Fish12_PondTime,176.688
Pond3Fish12_PondOutcome,134
Pond3Fish12_TotalOutcome,462
Pond3Fish12_TimeLeft,603.615
Pond3_Type,RD
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,30
Pond3Fish13_CatchTime,0.986
Pond3Fish13_PondTime,239.079
Pond3Fish13_PondOutcome,146
Pond3Fish13_TotalOutcome,474
Pond3Fish13_TimeLeft,541.224
Pond3_Type,RD
Pond3Fish14_FishType,purple
Pond3Fish14_FishLatency,60
Pond3Fish14_CatchTime,-1
Pond3Fish14_PondTime,241.544
Pond3Fish14_PondOutcome,146
Pond3Fish14_TotalOutcome,474
Pond3Fish14_TimeLeft,538.759
Pond3_GiveUpTime,74.294
Pond3_PondTime,312.96
Pond3_PondOutcome,146
Pond3_TotalOutcome,474
Pond3_TimeLeft,467.343
Pond8IntroTime,12.766366954892874
Pond8_Type,RD
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.012
Pond8Fish1_PondTime,21.474
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,486
Pond8Fish1_TimeLeft,445.869
Pond8_Type,RD
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,0.984
Pond8Fish2_PondTime,27.864
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,498
Pond8Fish2_TimeLeft,439.479
Pond8_Type,RD
