,5b222aff59f9620001c109cb
Pond2Fish10_TimeLeft,814.309
Pond2_Type,RD
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.412
Pond2Fish11_PondTime,93.186
Pond2Fish11_PondOutcome,132
Pond2Fish11_TotalOutcome,472
Pond2Fish11_TimeLeft,804.445
Pond2_Type,RD
Pond2Fish12_FishType,gray
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.21
Pond2Fish12_PondTime,104.159
Pond2Fish12_PondOutcome,134
Pond2Fish12_TotalOutcome,474
Pond2Fish12_TimeLeft,793.471
Pond2_Type,RD
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,0.894
Pond2Fish13_PondTime,116.61
Pond2Fish13_PondOutcome,146
Pond2Fish13_TotalOutcome,486
Pond2Fish13_TimeLeft,781.021
Pond2_GiveUpTime,1.725
Pond2_PondTime,117.833
Pond2_PondOutcome,146
Pond2_TotalOutcome,486
Pond2_TimeLeft,779.797
Pond10IntroTime,19.426720403134823
Pond10_Type,RD
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.11
Pond10Fish1_PondTime,28.987
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,498
Pond10Fish1_TimeLeft,750.81
Pond10_Type,RD
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.153
Pond10Fish2_PondTime,36.408
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,510
Pond10Fish2_TimeLeft,743.389
Pond10_Type,RD
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.248
Pond10Fish3_PondTime,44.38
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,522
Pond10Fish3_TimeLeft,735.417
Pond10_Type,RD
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.054
Pond10Fish4_PondTime,52.873
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,534
Pond10Fish4_TimeLeft,726.924
Pond10_Type,RD
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,0.964
Pond10Fish5_PondTime,61.955
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,546
Pond10Fish5_TimeLeft,717.842
Pond10_Type,RD
Pond10Fish6_FishType,gray
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.072
Pond10Fish6_PondTime,71.884
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,548
Pond10Fish6_TimeLeft,707.913
Pond10_Type,RD
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,0.987
Pond10Fish7_PondTime,82.852
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,560
Pond10Fish7_TimeLeft,696.945
Pond10_GiveUpTime,1.083
Pond10_PondTime,83.516
Pond10_PondOutcome,74
Pond10_TotalOutcome,560
Pond10_TimeLeft,696.281
Pond12IntroTime,17.68878744216636
Pond12_Type,RD
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.252
Pond12Fish1_PondTime,26.693
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,572
Pond12Fish1_TimeLeft,669.588
