,5ccaf456a3decc00181d5b05
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.82
Pond11Fish5_PondTime,60.028
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,598
Pond11Fish5_TimeLeft,559.993
Pond11_Type,RD
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.845
Pond11Fish6_PondTime,70.966
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,610
Pond11Fish6_TimeLeft,549.055
Pond11_Type,RD
Pond11Fish7_FishType,gray
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,1.197
Pond11Fish7_PondTime,83.336
Pond11Fish7_PondOutcome,74
Pond11Fish7_TotalOutcome,612
Pond11Fish7_TimeLeft,536.684
Pond11_Type,RD
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,1.247
Pond11Fish8_PondTime,97.722
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,624
Pond11Fish8_TimeLeft,522.299
Pond11_Type,RD
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,1.126
Pond11Fish9_PondTime,115.1
Pond11Fish9_PondOutcome,98
Pond11Fish9_TotalOutcome,636
Pond11Fish9_TimeLeft,504.921
Pond11_Type,RD
Pond11Fish10_FishType,gray
Pond11Fish10_FishLatency,15
Pond11Fish10_CatchTime,1.191
Pond11Fish10_PondTime,137.467
Pond11Fish10_PondOutcome,100
Pond11Fish10_TotalOutcome,638
Pond11Fish10_TimeLeft,482.554
Pond11_Type,RD
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,20
Pond11Fish11_CatchTime,0.959
Pond11Fish11_PondTime,169.837
Pond11Fish11_PondOutcome,112
Pond11Fish11_TotalOutcome,650
Pond11Fish11_TimeLeft,450.184
Pond11_GiveUpTime,2.586
Pond11_PondTime,171.979
Pond11_PondOutcome,112
Pond11_TotalOutcome,650
Pond11_TimeLeft,448.042
Pond6IntroTime,18.95218825666234
Pond6_Type,RD
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.025
Pond6Fish1_PondTime,27.226
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,662
Pond6Fish1_TimeLeft,420.815
Pond6_Type,RD
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.204
Pond6Fish2_PondTime,33.147
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,674
Pond6Fish2_TimeLeft,414.895
Pond6_Type,RD
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.035
Pond6Fish3_PondTime,39.286
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,686
Pond6Fish3_TimeLeft,408.756
Pond6_Type,RD
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.243
Pond6Fish4_PondTime,45.705
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,698
Pond6Fish4_TimeLeft,402.336
Pond6_Type,RD
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.143
Pond6Fish5_PondTime,52.375
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,710
Pond6Fish5_TimeLeft,395.667
Pond6_Type,RD
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.113
Pond6Fish6_PondTime,59.361
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,722
Pond6Fish6_TimeLeft,388.681
Pond6_Type,RD
Pond6Fish7_FishType,gray
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.284
Pond6Fish7_PondTime,66.745
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,724
Pond6Fish7_TimeLeft,381.296
Pond6_Type,RD
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
