,5c93bbc8cda9c500170b22c5
Pond6Fish6_PondTime,50.881
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,572
Pond6Fish6_TimeLeft,433.307
Pond6_Type,RD
Pond6Fish7_FishType,gray
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.265
Pond6Fish7_PondTime,58.241
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,574
Pond6Fish7_TimeLeft,425.947
Pond6_GiveUpTime,0.903
Pond6_PondTime,59.024
Pond6_PondOutcome,74
Pond6_TotalOutcome,574
Pond6_TimeLeft,425.164
Pond12IntroTime,18.617772890720516
Pond12_Type,RD
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.801
Pond12Fish1_PondTime,27.52
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,586
Pond12Fish1_TimeLeft,397.644
Pond12_Type,RD
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.11
Pond12Fish2_PondTime,34.162
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,598
Pond12Fish2_TimeLeft,391.002
Pond12_Type,RD
Pond12Fish3_FishType,gray
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.324
Pond12Fish3_PondTime,41.141
Pond12Fish3_PondOutcome,26
Pond12Fish3_TotalOutcome,600
Pond12Fish3_TimeLeft,384.023
Pond12_Type,RD
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.135
Pond12Fish4_PondTime,48.499
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,612
Pond12Fish4_TimeLeft,376.665
Pond12_Type,RD
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.269
Pond12Fish5_PondTime,56.307
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,624
Pond12Fish5_TimeLeft,368.857
Pond12_Type,RD
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.119
Pond12Fish6_PondTime,64.665
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,636
Pond12Fish6_TimeLeft,360.499
Pond12_Type,RD
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.294
Pond12Fish7_PondTime,73.689
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,648
