,598783dc23640f00010e593e
Pond5Fish2_PondOutcome,12
Pond5Fish2_TotalOutcome,574
Pond5Fish2_TimeLeft,493.962
Pond5_Type,RD
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,1.512
Pond5Fish3_PondTime,37.489
Pond5Fish3_PondOutcome,24
Pond5Fish3_TotalOutcome,586
Pond5Fish3_TimeLeft,487.304
Pond5_Type,RD
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,1.233
Pond5Fish4_PondTime,44.469
Pond5Fish4_PondOutcome,36
Pond5Fish4_TotalOutcome,598
Pond5Fish4_TimeLeft,480.324
Pond5_Type,RD
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,1.556
Pond5Fish5_PondTime,51.83
Pond5Fish5_PondOutcome,48
Pond5Fish5_TotalOutcome,610
Pond5Fish5_TimeLeft,472.963
Pond5_Type,RD
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,1.414
Pond5Fish6_PondTime,59.656
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,622
Pond5Fish6_TimeLeft,465.137
Pond5_Type,RD
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,1.471
Pond5Fish7_PondTime,68.028
Pond5Fish7_PondOutcome,72
Pond5Fish7_TotalOutcome,634
Pond5Fish7_TimeLeft,456.765
Pond5_Type,RD
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.389
Pond5Fish8_PondTime,77.078
Pond5Fish8_PondOutcome,84
Pond5Fish8_TotalOutcome,646
Pond5Fish8_TimeLeft,447.715
Pond5_Type,RD
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,-1
Pond5Fish9_PondTime,87.009
Pond5Fish9_PondOutcome,84
Pond5Fish9_TotalOutcome,646
Pond5Fish9_TimeLeft,437.784
