,5c54dee4703a5e00016b84ed
Pond4Fish13_PondOutcome,146
Pond4Fish13_TotalOutcome,674
Pond4Fish13_TimeLeft,385.297
Pond4_Type,RD
Pond4Fish14_FishType,purple
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,1.014
Pond4Fish14_PondTime,138.704
Pond4Fish14_PondOutcome,158
Pond4Fish14_TotalOutcome,686
Pond4Fish14_TimeLeft,370.926
Pond4_GiveUpTime,1.155
Pond4_PondTime,139.486
Pond4_PondOutcome,158
Pond4_TotalOutcome,686
Pond4_TimeLeft,370.144
Pond11IntroTime,13.482913167681545
Pond11_Type,RD
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.07
Pond11Fish1_PondTime,23.379
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,698
Pond11Fish1_TimeLeft,346.765
Pond11_Type,RD
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,-1
Pond11Fish2_PondTime,31.251
Pond11Fish2_PondOutcome,12
Pond11Fish2_TotalOutcome,698
Pond11Fish2_TimeLeft,338.893
Pond11_Type,RD
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1.181
Pond11Fish3_PondTime,39.612
Pond11Fish3_PondOutcome,24
Pond11Fish3_TotalOutcome,710
Pond11Fish3_TimeLeft,330.532
Pond11_Type,RD
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.017
Pond11Fish4_PondTime,48.64
Pond11Fish4_PondOutcome,36
Pond11Fish4_TotalOutcome,722
Pond11Fish4_TimeLeft,321.504
Pond11_Type,RD
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.32
Pond11Fish5_PondTime,58.498
Pond11Fish5_PondOutcome,48
Pond11Fish5_TotalOutcome,734
Pond11Fish5_TimeLeft,311.646
Pond11_Type,RD
Pond11Fish6_FishType,gray
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.972
Pond11Fish6_PondTime,69.436
Pond11Fish6_PondOutcome,50
Pond11Fish6_TotalOutcome,736
Pond11Fish6_TimeLeft,300.707
Pond11_Type,RD
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,0.974
Pond11Fish7_PondTime,81.794
Pond11Fish7_PondOutcome,62
Pond11Fish7_TotalOutcome,748
Pond11Fish7_TimeLeft,288.35
Pond11_Type,RD
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,0.836
Pond11Fish8_PondTime,96.166
Pond11Fish8_PondOutcome,74
Pond11Fish8_TotalOutcome,760
Pond11Fish8_TimeLeft,273.978
Pond11_Type,RD
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,1.014
Pond11Fish9_PondTime,113.531
Pond11Fish9_PondOutcome,86
Pond11Fish9_TotalOutcome,772
Pond11Fish9_TimeLeft,256.613
Pond11_Type,RD
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,15
Pond11Fish10_CatchTime,1.352
Pond11Fish10_PondTime,135.897
Pond11Fish10_PondOutcome,98
Pond11Fish10_TotalOutcome,784
Pond11Fish10_TimeLeft,234.247
Pond11_GiveUpTime,29.413
Pond11_PondTime,165.272
Pond11_PondOutcome,98
Pond11_TotalOutcome,784
Pond11_TimeLeft,204.872
Pond12IntroTime,18.21005537174642
Pond12_Type,RD
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.005
Pond12Fish1_PondTime,27.105
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,796
Pond12Fish1_TimeLeft,177.766
Pond12_Type,RD
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.912
Pond12Fish2_PondTime,33.751
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,808
Pond12Fish2_TimeLeft,171.12
Pond12_Type,RD
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.183
Pond12Fish3_PondTime,40.728
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,820
Pond12Fish3_TimeLeft,164.143
Pond12_Type,RD
Pond12Fish4_FishType,gray
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.967
Pond12Fish4_PondTime,48.089
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,822
Pond12Fish4_TimeLeft,156.782
Pond12_Type,RD
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.949
Pond12Fish5_PondTime,55.915
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,834
Pond12Fish5_TimeLeft,148.956
Pond12_Type,RD
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.965
Pond12Fish6_PondTime,65.41
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,846
Pond12Fish6_TimeLeft,139.461
Pond12_Type,RD
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.421
Pond12Fish7_PondTime,79.41
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,858
Pond12Fish7_TimeLeft,125.461
Pond12_Type,RD
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.882
Pond12Fish8_PondTime,92.411
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,870
Pond12Fish8_TimeLeft,112.46
Pond12_Type,RD
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.805
Pond12Fish9_PondTime,105.41
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,882
Pond12Fish9_TimeLeft,99.46
Pond12_GiveUpTime,12.064
Pond12_PondTime,115.568
Pond12_PondOutcome,98
Pond12_TotalOutcome,882
Pond12_TimeLeft,89.303
Pond2IntroTime,14.147097410168499
Pond2_Type,RD
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,0.89
Pond2Fish1_PondTime,25.822
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,894
Pond2Fish1_TimeLeft,63.481
Pond2_Type,RD
Pond2Fish2_FishType,purple
