,5d6e3802ec4df400153b7ed4
Pond11_PondOutcome,100
Pond11_TotalOutcome,714
Pond11_TimeLeft,469.58
Pond12IntroTime,17.20735422335565
Pond12_Type,RD
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.331
Pond12Fish1_PondTime,26.123
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,726
Pond12Fish1_TimeLeft,443.457
Pond12_Type,RD
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.107
Pond12Fish2_PondTime,32.787
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,738
Pond12Fish2_TimeLeft,436.793
Pond12_Type,RD
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.072
Pond12Fish3_PondTime,39.77
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,750
Pond12Fish3_TimeLeft,429.81
Pond12_Type,RD
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.228
Pond12Fish4_PondTime,47.145
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,762
Pond12Fish4_TimeLeft,422.435
Pond12_Type,RD
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.926
Pond12Fish5_PondTime,54.981
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,774
Pond12Fish5_TimeLeft,414.599
Pond12_Type,RD
Pond12Fish6_FishType,gray
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.46
Pond12Fish6_PondTime,63.364
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,776
Pond12Fish6_TimeLeft,406.216
Pond12_Type,RD
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.086
Pond12Fish7_PondTime,72.403
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,788
Pond12Fish7_TimeLeft,397.177
Pond12_Type,RD
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.993
Pond12Fish8_PondTime,82.284
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,800
Pond12Fish8_TimeLeft,387.296
Pond12_Type,RD
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.373
Pond12Fish9_PondTime,93.233
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,812
Pond12Fish9_TimeLeft,376.347
Pond12_Type,RD
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.25
Pond12Fish10_PondTime,105.599
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,824
Pond12Fish10_TimeLeft,363.981
Pond12_Type,RD
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,1.305
Pond12Fish11_PondTime,119.971
Pond12Fish11_PondOutcome,122
Pond12Fish11_TotalOutcome,836
Pond12Fish11_TimeLeft,349.609
Pond12_GiveUpTime,1.37
