,5c8e8032b828c80018fde80c
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,1.448
Pond4Fish10_PondTime,83.282
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,610
Pond4Fish10_TimeLeft,661.63
Pond4_Type,RD
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,1.084
Pond4Fish11_PondTime,93.153
Pond4Fish11_PondOutcome,112
Pond4Fish11_TotalOutcome,622
Pond4Fish11_TimeLeft,651.759
Pond4_Type,RD
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,1.18
Pond4Fish12_PondTime,104.098
Pond4Fish12_PondOutcome,124
Pond4Fish12_TotalOutcome,634
Pond4Fish12_TimeLeft,640.814
Pond4_Type,RD
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,1.197
Pond4Fish13_PondTime,116.466
Pond4Fish13_PondOutcome,136
Pond4Fish13_TotalOutcome,646
Pond4Fish13_TimeLeft,628.446
Pond4_GiveUpTime,1.487
Pond4_PondTime,117.752
Pond4_PondOutcome,136
Pond4_TotalOutcome,646
Pond4_TimeLeft,627.16
Pond3IntroTime,13.462993719149381
Pond3_Type,RD
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.388
Pond3Fish1_PondTime,22.986
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,658
Pond3Fish1_TimeLeft,604.174
Pond3_Type,RD
Pond3Fish2_FishType,gray
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.131
Pond3Fish2_PondTime,30.373
Pond3Fish2_PondOutcome,14
Pond3Fish2_TotalOutcome,660
Pond3Fish2_TimeLeft,596.787
Pond3_Type,RD
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.059
Pond3Fish3_PondTime,38.205
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,672
Pond3Fish3_TimeLeft,588.955
Pond3_Type,RD
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.122
Pond3Fish4_PondTime,46.58
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,684
Pond3Fish4_TimeLeft,580.58
Pond3_Type,RD
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.276
Pond3Fish5_PondTime,55.615
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,696
Pond3Fish5_TimeLeft,571.545
Pond3_Type,RD
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.36
Pond3Fish6_PondTime,65.483
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,708
Pond3Fish6_TimeLeft,561.677
Pond3_Type,RD
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.206
Pond3Fish7_PondTime,76.429
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,720
Pond3Fish7_TimeLeft,550.731
Pond3_Type,RD
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,-1
Pond3Fish8_PondTime,88.851
Pond3Fish8_PondOutcome,74
Pond3Fish8_TotalOutcome,720
Pond3Fish8_TimeLeft,538.308
Pond3_GiveUpTime,14.77
Pond3_PondTime,91.014
Pond3_PondOutcome,74
Pond3_TotalOutcome,720
Pond3_TimeLeft,536.146
Pond9IntroTime,12.844394666608423
Pond9_Type,RD
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,-1
Pond9Fish1_PondTime,21.13
Pond9Fish1_PondOutcome,0
Pond9Fish1_TotalOutcome,720
Pond9Fish1_TimeLeft,515.016
Pond9_Type,RD
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.425
Pond9Fish2_PondTime,27.031
Pond9Fish2_PondOutcome,12
Pond9Fish2_TotalOutcome,732
Pond9Fish2_TimeLeft,509.115
Pond9_Type,RD
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.069
Pond9Fish3_PondTime,33.151
Pond9Fish3_PondOutcome,24
Pond9Fish3_TotalOutcome,744
Pond9Fish3_TimeLeft,502.995
Pond9_Type,RD
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.423
Pond9Fish4_PondTime,39.521
Pond9Fish4_PondOutcome,36
Pond9Fish4_TotalOutcome,756
Pond9Fish4_TimeLeft,496.625
Pond9_Type,RD
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.261
Pond9Fish5_PondTime,46.165
Pond9Fish5_PondOutcome,48
Pond9Fish5_TotalOutcome,768
Pond9Fish5_TimeLeft,489.981
Pond9_Type,RD
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.261
Pond9Fish6_PondTime,53.146
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,780
Pond9Fish6_TimeLeft,483
Pond9_Type,RD
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.072
Pond9Fish7_PondTime,60.515
Pond9Fish7_PondOutcome,72
Pond9Fish7_TotalOutcome,792
Pond9Fish7_TimeLeft,475.631
Pond9_Type,RD
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.386
Pond9Fish8_PondTime,68.33
Pond9Fish8_PondOutcome,84
Pond9Fish8_TotalOutcome,804
Pond9Fish8_TimeLeft,467.815
Pond9_Type,RD
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.11
Pond9Fish9_PondTime,76.715
Pond9Fish9_PondOutcome,96
Pond9Fish9_TotalOutcome,816
Pond9Fish9_TimeLeft,459.431
Pond9_Type,RD
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.377
Pond9Fish10_PondTime,85.747
Pond9Fish10_PondOutcome,108
Pond9Fish10_TotalOutcome,828
Pond9Fish10_TimeLeft,450.399
Pond9_Type,RD
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1.194
Pond9Fish11_PondTime,95.614
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,840
Pond9Fish11_TimeLeft,440.532
Pond9_Type,RD
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.353
Pond9Fish12_PondTime,106.551
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,852
Pond9Fish12_TimeLeft,429.595
Pond9_Type,RD
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.323
Pond9Fish13_PondTime,118.914
Pond9Fish13_PondOutcome,144
Pond9Fish13_TotalOutcome,864
Pond9Fish13_TimeLeft,417.232
Pond9_GiveUpTime,2.232
Pond9_PondTime,121.077
Pond9_PondOutcome,144
Pond9_TotalOutcome,864
Pond9_TimeLeft,415.069
Pond7IntroTime,12.428862620145082
Pond7_Type,RD
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.092
Pond7Fish1_PondTime,20.644
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,876
Pond7Fish1_TimeLeft,394.425
Pond7_Type,RD
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.078
Pond7Fish2_PondTime,26.562
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,888
Pond7Fish2_TimeLeft,388.507
Pond7_Type,RD
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.38
Pond7Fish3_PondTime,32.685
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,900
Pond7Fish3_TimeLeft,382.384
Pond7_Type,RD
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.262
Pond7Fish4_PondTime,39.055
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,912
Pond7Fish4_TimeLeft,376.014
Pond7_Type,RD
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,1.135
Pond7Fish5_PondTime,45.723
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,924
Pond7Fish5_TimeLeft,369.346
Pond7_Type,RD
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,1.104
Pond7Fish6_PondTime,52.705
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,936
Pond7Fish6_TimeLeft,362.364
Pond7_Type,RD
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,1.081
Pond7Fish7_PondTime,60.073
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,948
