,5d88ceb2dec2a500155d5ce1
Pond5Fish12_TotalOutcome,900
Pond5Fish12_TimeLeft,166.189
Pond5_Type,RT
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,0.672
Pond5Fish13_PondTime,124.867
Pond5Fish13_PondOutcome,150
Pond5Fish13_TotalOutcome,910
Pond5Fish13_TimeLeft,153.812
Pond5_Type,RT
Pond5Fish14_FishType,blue
Pond5Fish14_FishLatency,10
Pond5Fish14_CatchTime,0.931
Pond5Fish14_PondTime,139.244
Pond5Fish14_PondOutcome,160
Pond5Fish14_TotalOutcome,920
Pond5Fish14_TimeLeft,139.435
Pond5_GiveUpTime,0.358
Pond5_PondTime,156.316
Pond5_PondOutcome,160
Pond5_TotalOutcome,920
Pond5_TimeLeft,122.362
Pond7IntroTime,17.246021970640868
Pond7_Type,RT
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.805
Pond7Fish1_PondTime,27.63
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,930
Pond7Fish1_TimeLeft,94.731
Pond7_Type,RT
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5.454545454545454
