,5dc533aa02e9a93c00d9e3ff
Pond2Fish3_CatchTime,-1
Pond2Fish3_PondTime,36.172
Pond2Fish3_PondOutcome,0
Pond2Fish3_TotalOutcome,330
Pond2Fish3_TimeLeft,814.453
Pond2_Type,RT
Pond2Fish4_FishType,golden
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,-1
Pond2Fish4_PondTime,44.625
Pond2Fish4_PondOutcome,0
Pond2Fish4_TotalOutcome,330
Pond2Fish4_TimeLeft,806
Pond2_Type,RT
Pond2Fish5_FishType,golden
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,0.719
Pond2Fish5_PondTime,53.663
Pond2Fish5_PondOutcome,20
Pond2Fish5_TotalOutcome,350
Pond2Fish5_TimeLeft,796.962
Pond2_Type,RT
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,0.807
Pond2Fish6_PondTime,63.529
Pond2Fish6_PondOutcome,30
Pond2Fish6_TotalOutcome,360
Pond2Fish6_TimeLeft,787.096
Pond2_GiveUpTime,3.184
Pond2_PondTime,66.119
Pond2_PondOutcome,30
Pond2_TotalOutcome,360
Pond2_TimeLeft,784.506
Pond5IntroTime,17.611881101038307
Pond5_Type,RT
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.779
Pond5Fish1_PondTime,25.852
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,370
Pond5Fish1_TimeLeft,758.654
Pond5_Type,RT
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.766
Pond5Fish2_PondTime,31.746
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,380
Pond5Fish2_TimeLeft,752.76
Pond5_Type,RT
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.799
Pond5Fish3_PondTime,37.863
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,390
Pond5Fish3_TimeLeft,746.643
Pond5_Type,RT
Pond5Fish4_FishType,golden
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.708
Pond5Fish4_PondTime,44.244
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,410
Pond5Fish4_TimeLeft,740.262
Pond5_Type,RT
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.906
Pond5Fish5_PondTime,50.893
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,420
Pond5Fish5_TimeLeft,733.613
Pond5_Type,RT
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.916
Pond5Fish6_PondTime,57.88
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,430
Pond5Fish6_TimeLeft,726.626
Pond5_Type,RT
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.042
Pond5Fish7_PondTime,65.245
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,440
Pond5Fish7_TimeLeft,719.261
Pond5_Type,RT
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.926
Pond5Fish8_PondTime,73.063
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,450
Pond5Fish8_TimeLeft,711.443
Pond5_GiveUpTime,2.103
Pond5_PondTime,74.7
Pond5_PondOutcome,90
Pond5_TotalOutcome,450
Pond5_TimeLeft,709.806
Pond6IntroTime,19.58453648723662
Pond6_Type,RT
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.066
Pond6Fish1_PondTime,29.104
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,460
Pond6Fish1_TimeLeft,680.702
Pond6_Type,RT
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,0.796
Pond6Fish2_PondTime,36.471
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,470
Pond6Fish2_TimeLeft,673.335
Pond6_Type,RT
Pond6Fish3_FishType,golden
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.818
Pond6Fish3_PondTime,44.307
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,490
Pond6Fish3_TimeLeft,665.499
Pond6_Type,RT
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.661
Pond6Fish4_PondTime,52.693
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,500
Pond6Fish4_TimeLeft,657.113
Pond6_Type,RT
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.386
Pond6Fish5_PondTime,61.716
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,510
Pond6Fish5_TimeLeft,648.09
Pond6_Type,RT
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.111
Pond6Fish6_PondTime,71.606
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,520
Pond6Fish6_TimeLeft,638.2
Pond6_Type,RT
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,0.705
Pond6Fish7_PondTime,82.564
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,530
Pond6Fish7_TimeLeft,627.242
Pond6_Type,RT
Pond6Fish8_FishType,golden
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,1.086
Pond6Fish8_PondTime,94.929
Pond6Fish8_PondOutcome,100
Pond6Fish8_TotalOutcome,550
Pond6Fish8_TimeLeft,614.877
Pond6_GiveUpTime,2.015
Pond6_PondTime,96.643
Pond6_PondOutcome,100
Pond6_TotalOutcome,550
Pond6_TimeLeft,613.163
Pond12IntroTime,10.22869762731716
Pond12_Type,RT
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.958
Pond12Fish1_PondTime,19.415
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,560
Pond12Fish1_TimeLeft,593.748
Pond12_Type,RT
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.975
Pond12Fish2_PondTime,26.42
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,570
Pond12Fish2_TimeLeft,586.743
Pond12_Type,RT
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.057
Pond12Fish3_PondTime,33.785
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,580
Pond12Fish3_TimeLeft,579.378
Pond12_Type,RT
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.163
Pond12Fish4_PondTime,41.604
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,590
Pond12Fish4_TimeLeft,571.559
Pond12_Type,RT
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.892
Pond12Fish5_PondTime,49.989
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,600
Pond12Fish5_TimeLeft,563.174
Pond12_GiveUpTime,0.763
Pond12_PondTime,59.361
Pond12_PondOutcome,50
Pond12_TotalOutcome,600
Pond12_TimeLeft,553.802
Pond4IntroTime,10.445430795662105
Pond4_Type,RT
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.219
Pond4Fish1_PondTime,19.131
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,610
Pond4Fish1_TimeLeft,534.671
Pond4_Type,RT
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.787
Pond4Fish2_PondTime,25.513
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,620
Pond4Fish2_TimeLeft,528.289
Pond4_Type,RT
Pond4Fish3_FishType,golden
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.749
Pond4Fish3_PondTime,32.178
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,640
Pond4Fish3_TimeLeft,521.624
Pond4_Type,RT
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,1.019
Pond4Fish4_PondTime,39.177
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,650
Pond4Fish4_TimeLeft,514.625
Pond4_Type,RT
Pond4Fish5_FishType,golden
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.901
Pond4Fish5_PondTime,46.548
Pond4Fish5_PondOutcome,70
Pond4Fish5_TotalOutcome,670
Pond4Fish5_TimeLeft,507.254
Pond4_Type,RT
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,1.04
Pond4Fish6_PondTime,54.371
Pond4Fish6_PondOutcome,80
Pond4Fish6_TotalOutcome,680
Pond4Fish6_TimeLeft,499.431
Pond4_Type,RT
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,0.959
Pond4Fish7_PondTime,62.733
Pond4Fish7_PondOutcome,90
Pond4Fish7_TotalOutcome,690
Pond4Fish7_TimeLeft,491.069
Pond4_Type,RT
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,1.17
Pond4Fish8_PondTime,71.76
Pond4Fish8_PondOutcome,100
Pond4Fish8_TotalOutcome,700
Pond4Fish8_TimeLeft,482.042
Pond4_Type,RT
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,0.824
Pond4Fish9_PondTime,81.632
Pond4Fish9_PondOutcome,110
Pond4Fish9_TotalOutcome,710
Pond4Fish9_TimeLeft,472.17
Pond4_Type,RT
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,0.907
Pond4Fish10_PondTime,92.573
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,720
