,5b552bd8c09af90001f15749
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,1.349
Pond9Fish11_PondTime,113.013
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,860
Pond9Fish11_TimeLeft,265.416
Pond9_Type,RT
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,1.352
Pond9Fish12_PondTime,127.381
Pond9Fish12_PondOutcome,120
Pond9Fish12_TotalOutcome,870
Pond9Fish12_TimeLeft,251.048
Pond9_GiveUpTime,0.881
Pond9_PondTime,128.21
Pond9_PondOutcome,120
Pond9_TotalOutcome,870
Pond9_TimeLeft,250.219
Pond1IntroTime,19.621921367943287
Pond1_Type,RT
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.377
Pond1Fish1_PondTime,29.969
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,880
Pond1Fish1_TimeLeft,220.249
Pond1_Type,RT
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.2
Pond1Fish2_PondTime,38.335
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,890
Pond1Fish2_TimeLeft,211.884
Pond1_Type,RT
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.511
Pond1Fish3_PondTime,47.367
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,900
Pond1Fish3_TimeLeft,202.852
Pond1_Type,RT
Pond1Fish4_FishType,golden
Pond1Fish4_FishLatency,6.666666666666667
