,5b130d21444cef0001cadec7
Pond6Fish7_PondTime,80.666
Pond6Fish7_PondOutcome,90
Pond6Fish7_TotalOutcome,720
Pond6Fish7_TimeLeft,425.367
Pond6_Type,RT
Pond6Fish8_FishType,golden
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,1.078
Pond6Fish8_PondTime,93.022
Pond6Fish8_PondOutcome,110
Pond6Fish8_TotalOutcome,740
Pond6Fish8_TimeLeft,413.01
Pond6_Type,RT
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,1.086
Pond6Fish9_PondTime,107.395
Pond6Fish9_PondOutcome,120
Pond6Fish9_TotalOutcome,750
Pond6Fish9_TimeLeft,398.638
Pond6_Type,RT
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,1.213
Pond6Fish10_PondTime,124.782
Pond6Fish10_PondOutcome,130
Pond6Fish10_TotalOutcome,760
Pond6Fish10_TimeLeft,381.251
Pond6_GiveUpTime,0.292
Pond6_PondTime,146.902
Pond6_PondOutcome,130
Pond6_TotalOutcome,760
Pond6_TimeLeft,359.131
Pond4IntroTime,11.474725268781185
Pond4_Type,RT
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.91
Pond4Fish1_PondTime,20.143
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,770
Pond4Fish1_TimeLeft,338.988
Pond4_Type,RT
Pond4Fish2_FishType,golden
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,1.486
Pond4Fish2_PondTime,26.506
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,790
Pond4Fish2_TimeLeft,332.625
Pond4_Type,RT
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.801
Pond4Fish3_PondTime,33.148
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,800
Pond4Fish3_TimeLeft,325.983
Pond4_Type,RT
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.69
Pond4Fish4_PondTime,40.138
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,810
Pond4Fish4_TimeLeft,318.993
Pond4_Type,RT
Pond4Fish5_FishType,golden
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.69
Pond4Fish5_PondTime,47.507
Pond4Fish5_PondOutcome,70
Pond4Fish5_TotalOutcome,830
Pond4Fish5_TimeLeft,311.624
Pond4_Type,RT
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,0.732
Pond4Fish6_PondTime,55.334
Pond4Fish6_PondOutcome,80
Pond4Fish6_TotalOutcome,840
Pond4Fish6_TimeLeft,303.797
Pond4_Type,RT
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,0.712
Pond4Fish7_PondTime,63.71
Pond4Fish7_PondOutcome,90
Pond4Fish7_TotalOutcome,850
Pond4Fish7_TimeLeft,295.42
Pond4_Type,RT
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.848
Pond4Fish8_PondTime,72.735
Pond4Fish8_PondOutcome,100
Pond4Fish8_TotalOutcome,860
Pond4Fish8_TimeLeft,286.396
Pond4_Type,RT
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,0.986
Pond4Fish9_PondTime,82.592
Pond4Fish9_PondOutcome,110
Pond4Fish9_TotalOutcome,870
Pond4Fish9_TimeLeft,276.539
Pond4_Type,RT
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,0.97
Pond4Fish10_PondTime,93.533
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,880
Pond4Fish10_TimeLeft,265.598
Pond4_Type,RT
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,0.7
Pond4Fish11_PondTime,105.89
Pond4Fish11_PondOutcome,130
Pond4Fish11_TotalOutcome,890
Pond4Fish11_TimeLeft,253.24
Pond4_GiveUpTime,0.559
Pond4_PondTime,120.253
Pond4_PondOutcome,130
Pond4_TotalOutcome,890
Pond4_TimeLeft,238.878
Pond5IntroTime,15.332669431809336
Pond5_Type,RT
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.855
Pond5Fish1_PondTime,23.572
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,900
Pond5Fish1_TimeLeft,215.306
Pond5_Type,RT
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.106
Pond5Fish2_PondTime,29.468
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,910
Pond5Fish2_TimeLeft,209.41
Pond5_Type,RT
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.619
Pond5Fish3_PondTime,35.578
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,920
Pond5Fish3_TimeLeft,203.299
Pond5_Type,RT
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.984
Pond5Fish4_PondTime,41.94
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,930
Pond5Fish4_TimeLeft,196.937
Pond5_Type,RT
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.879
Pond5Fish5_PondTime,48.584
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,940
Pond5Fish5_TimeLeft,190.294
Pond5_Type,RT
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.904
Pond5Fish6_PondTime,55.565
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,950
Pond5Fish6_TimeLeft,183.313
Pond5_Type,RT
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.708
Pond5Fish7_PondTime,62.927
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,960
