,5c840aedbad8fb000106cb44
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,446
Pond5Fish6_TimeLeft,671.721
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,1.08
Pond5Fish7_PondTime,74.63
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,458
Pond5Fish7_TimeLeft,657.36
PondEnd_LastFish,7
FishN,12
Type,RD
GiveUpTime,0.295
PondTime,91.229
TimeLeft,640.259
PondOutcome,74
TotalOutcome,458
PondStart,PondStart
PondIntroTime,12.014503052923828
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,-1
Pond9Fish1_PondTime,8.081
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,470
Pond9Fish1_TimeLeft,619.547
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.63
Pond9Fish2_PondTime,14.446
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,482
Pond9Fish2_TimeLeft,613.182
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.284
Pond9Fish3_PondTime,21.096
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,494
Pond9Fish3_TimeLeft,606.532
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,2.048
Pond9Fish4_PondTime,28.129
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,506
Pond9Fish4_TimeLeft,599.498
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.451
Pond9Fish5_PondTime,35.497
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,518
Pond9Fish5_TimeLeft,592.131
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,-1
Pond9Fish6_PondTime,43.372
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,518
Pond9Fish6_TimeLeft,584.256
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.268
Pond9Fish7_PondTime,51.74
Pond9Fish7_PondOutcome,72
Pond9Fish7_TotalOutcome,530
Pond9Fish7_TimeLeft,575.888
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,0.622
Pond9Fish8_PondTime,60.763
Pond9Fish8_PondOutcome,84
Pond9Fish8_TotalOutcome,542
Pond9Fish8_TimeLeft,566.865
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,0.701
Pond9Fish9_PondTime,70.627
Pond9Fish9_PondOutcome,96
Pond9Fish9_TotalOutcome,554
Pond9Fish9_TimeLeft,557.001
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,2.032
Pond9Fish10_PondTime,81.613
Pond9Fish10_PondOutcome,108
Pond9Fish10_TotalOutcome,566
Pond9Fish10_TimeLeft,546.015
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,0.673
Pond9Fish11_PondTime,93.972
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,578
Pond9Fish11_TimeLeft,533.656
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,12.937
PondTime,105.781
TimeLeft,521.345
PondOutcome,120
TotalOutcome,578
PondStart,PondStart
PondIntroTime,12.065344718284905
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,0.766
Pond11Fish1_PondTime,8.027
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,590
Pond11Fish1_TimeLeft,500.623
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,0.628
Pond11Fish2_PondTime,14.393
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,602
Pond11Fish2_TimeLeft,494.257
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.781
Pond11Fish3_PondTime,21.041
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,614
Pond11Fish3_TimeLeft,487.609
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.203
Pond11Fish4_PondTime,28.022
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,626
Pond11Fish4_TimeLeft,480.628
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.615
Pond11Fish5_PondTime,35.388
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,638
Pond11Fish5_TimeLeft,473.262
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.611
Pond11Fish6_PondTime,43.198
