,5c097d961907db0001601f67
Pond9Fish8_TotalOutcome,650
Pond9Fish8_TimeLeft,265.388
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,0.791
Pond9Fish9_PondTime,66.867
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,662
Pond9Fish9_TimeLeft,256.352
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,1.171
Pond9Fish10_PondTime,76.749
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,674
Pond9Fish10_TimeLeft,246.471
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,7.5
Pond9Fish11_CatchTime,1.347
Pond9Fish11_PondTime,87.686
Pond9Fish11_PondOutcome,132
Pond9Fish11_TotalOutcome,686
Pond9Fish11_TimeLeft,235.534
Type,RD
FishN,18
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,8.571428571428571
Pond9Fish12_CatchTime,0.835
Pond9Fish12_PondTime,100.061
Pond9Fish12_PondOutcome,144
Pond9Fish12_TotalOutcome,698
Pond9Fish12_TimeLeft,223.159
Type,RD
FishN,18
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,10
Pond9Fish13_CatchTime,0.813
Pond9Fish13_PondTime,114.469
Pond9Fish13_PondOutcome,156
Pond9Fish13_TotalOutcome,710
Pond9Fish13_TimeLeft,208.751
Type,RD
FishN,18
Fish,14
Pond9Fish14_FishType,gray
Pond9Fish14_FishLatency,12
Pond9Fish14_CatchTime,0.744
Pond9Fish14_PondTime,131.864
Pond9Fish14_PondOutcome,158
Pond9Fish14_TotalOutcome,712
Pond9Fish14_TimeLeft,191.356
Type,RD
FishN,18
Fish,15
Pond9Fish15_FishType,blue
Pond9Fish15_FishLatency,15
Pond9Fish15_CatchTime,1.105
Pond9Fish15_PondTime,154.265
Pond9Fish15_PondOutcome,170
Pond9Fish15_TotalOutcome,724
Pond9Fish15_TimeLeft,168.955
PondEnd_LastFish,15
FishN,18
Type,RD
GiveUpTime,15.203
PondTime,168.771
TimeLeft,153.947
PondOutcome,170
TotalOutcome,724
PondStart,PondStart
PondIntroTime,19.785740901716053
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.727
Pond3Fish1_PondTime,9.771
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,736
Pond3Fish1_TimeLeft,123.755
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.059
Pond3Fish2_PondTime,18.147
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,748
Pond3Fish2_TimeLeft,115.379
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.017
Pond3Fish3_PondTime,27.178
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,750
Pond3Fish3_TimeLeft,106.348
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.874
Pond3Fish4_PondTime,37.045
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,762
Pond3Fish4_TimeLeft,96.481
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,0.727
Pond3Fish5_PondTime,48.015
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,774
Pond3Fish5_TimeLeft,85.511
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.73
Pond3Fish6_PondTime,60.423
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,786
Pond3Fish6_TimeLeft,73.103
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,0.918
Pond3Fish7_PondTime,74.806
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,798
Pond3Fish7_TimeLeft,58.72
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,1.102
Pond3Fish8_PondTime,92.206
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,810
Pond3Fish8_TimeLeft,41.32
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,gray
Pond3Fish9_FishLatency,15
Pond3Fish9_CatchTime,0.854
Pond3Fish9_PondTime,114.584
Pond3Fish9_PondOutcome,88
Pond3Fish9_TotalOutcome,812
Pond3Fish9_TimeLeft,18.941
