,5e13361697234b9785ef3f81
Pond4Fish4_TimeLeft,617.394
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,1.265
Pond4Fish5_PondTime,39.339
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,440
Pond4Fish5_TimeLeft,608.997
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,gray
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,1.42
Pond4Fish6_PondTime,48.399
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,442
Pond4Fish6_TimeLeft,599.937
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,1.182
Pond4Fish7_PondTime,58.298
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,454
Pond4Fish7_TimeLeft,590.038
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,1.151
Pond4Fish8_PondTime,69.276
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,466
Pond4Fish8_TimeLeft,579.06
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,1.525
Pond4Fish9_PondTime,81.678
Pond4Fish9_PondOutcome,98
Pond4Fish9_TotalOutcome,478
Pond4Fish9_TimeLeft,566.658
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,10
Pond4Fish10_CatchTime,1.483
Pond4Fish10_PondTime,96.087
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,490
Pond4Fish10_TimeLeft,552.249
Type,RD
FishN,17
Fish,11
Pond4Fish11_FishType,gray
Pond4Fish11_FishLatency,12
Pond4Fish11_CatchTime,1.412
Pond4Fish11_PondTime,113.485
Pond4Fish11_PondOutcome,112
Pond4Fish11_TotalOutcome,492
Pond4Fish11_TimeLeft,534.851
Type,RD
FishN,17
Fish,12
Pond4Fish12_FishType,blue
Pond4Fish12_FishLatency,15
Pond4Fish12_CatchTime,1.385
Pond4Fish12_PondTime,135.882
Pond4Fish12_PondOutcome,124
Pond4Fish12_TotalOutcome,504
Pond4Fish12_TimeLeft,512.454
PondEnd_LastFish,12
FishN,15
Type,RD
GiveUpTime,21.685
PondTime,157.162
TimeLeft,490.67
PondOutcome,124
TotalOutcome,504
PondStart,PondStart
PondIntroTime,12.288616292644292
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.504
Pond9Fish1_PondTime,8.656
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,516
Pond9Fish1_TimeLeft,469.034
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,gray
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.763
Pond9Fish2_PondTime,15.734
Pond9Fish2_PondOutcome,14
Pond9Fish2_TotalOutcome,518
Pond9Fish2_TimeLeft,461.956
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.617
Pond9Fish3_PondTime,23.143
Pond9Fish3_PondOutcome,26
Pond9Fish3_TotalOutcome,530
Pond9Fish3_TimeLeft,454.547
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.428
Pond9Fish4_PondTime,30.984
Pond9Fish4_PondOutcome,38
Pond9Fish4_TotalOutcome,542
Pond9Fish4_TimeLeft,446.706
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,2.027
Pond9Fish5_PondTime,39.439
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,554
Pond9Fish5_TimeLeft,438.251
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.467
Pond9Fish6_PondTime,48.503
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,566
Pond9Fish6_TimeLeft,429.186
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,gray
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.62
Pond9Fish7_PondTime,58.401
Pond9Fish7_PondOutcome,64
Pond9Fish7_TotalOutcome,568
Pond9Fish7_TimeLeft,419.289
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.593
Pond9Fish8_PondTime,69.358
Pond9Fish8_PondOutcome,76
Pond9Fish8_TotalOutcome,580
Pond9Fish8_TimeLeft,408.331
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,gray
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,-1
Pond9Fish9_PondTime,81.813
Pond9Fish9_PondOutcome,76
Pond9Fish9_TotalOutcome,580
Pond9Fish9_TimeLeft,395.876
