,57da96a2bcd7150001ded382
TimeLeft,507.864
PondOutcome,108
TotalOutcome,586
PondStart,PondStart
PondIntroTime,18.07570349657908
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.247
Pond1Fish1_PondTime,9.778
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,598
Pond1Fish1_TimeLeft,479.332
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.157
Pond1Fish2_PondTime,18.223
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,610
Pond1Fish2_TimeLeft,470.887
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.176
Pond1Fish3_PondTime,27.293
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,622
Pond1Fish3_TimeLeft,461.817
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.432
Pond1Fish4_PondTime,37.18
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,634
Pond1Fish4_TimeLeft,451.93
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.302
Pond1Fish5_PondTime,48.142
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,646
Pond1Fish5_TimeLeft,440.968
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.294
Pond1Fish6_PondTime,60.529
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,658
Pond1Fish6_TimeLeft,428.581
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.041
Pond1Fish7_PondTime,74.996
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,670
Pond1Fish7_TimeLeft,414.114
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,1.361
Pond1Fish8_PondTime,92.378
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,682
Pond1Fish8_TimeLeft,396.732
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,15
