,5cb255402051100001c5d058
TotalOutcome,422
PondStart,PondStart
PondIntroTime,11.133325228001922
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.32
Pond12Fish1_PondTime,8.298
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,434
Pond12Fish1_TimeLeft,766.656
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.443
Pond12Fish2_PondTime,14.951
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,446
Pond12Fish2_TimeLeft,760.003
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.189
Pond12Fish3_PondTime,21.94
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,458
Pond12Fish3_TimeLeft,753.015
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.389
Pond12Fish4_PondTime,29.314
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,470
Pond12Fish4_TimeLeft,745.64
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.563
Pond12Fish5_PondTime,37.141
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,482
Pond12Fish5_TimeLeft,737.814
PondEnd_LastFish,5
FishN,16
Type,RD
GiveUpTime,2.445
PondTime,39.35
TimeLeft,735.096
PondOutcome,60
TotalOutcome,482
PondStart,PondStart
PondIntroTime,13.229167924728245
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,1.47
Pond1Fish1_PondTime,8.036
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,494
Pond1Fish1_TimeLeft,713.212
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,1.353
Pond1Fish2_PondTime,14.41
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,506
Pond1Fish2_TimeLeft,706.838
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,-1
Pond1Fish3_PondTime,21.11
Pond1Fish3_PondOutcome,24
Pond1Fish3_TotalOutcome,506
Pond1Fish3_TimeLeft,700.138
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,gray
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,1.219
Pond1Fish4_PondTime,28.1
Pond1Fish4_PondOutcome,26
Pond1Fish4_TotalOutcome,508
Pond1Fish4_TimeLeft,693.148
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,1.326
Pond1Fish5_PondTime,35.474
Pond1Fish5_PondOutcome,38
Pond1Fish5_TotalOutcome,520
Pond1Fish5_TimeLeft,685.773
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,1.207
Pond1Fish6_PondTime,43.303
Pond1Fish6_PondOutcome,50
Pond1Fish6_TotalOutcome,532
Pond1Fish6_TimeLeft,677.945
Type,RD
FishN,19
Fish,7
