,5bec8599fdf8c50001d0d329
Pond6Fish6_CatchTime,1.233
Pond6Fish6_PondTime,60.368
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,462
Pond6Fish6_TimeLeft,689.921
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,1.148
Pond6Fish7_PondTime,74.75
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,474
Pond6Fish7_TimeLeft,675.539
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,1.449
Pond6Fish8_PondTime,92.114
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,486
Pond6Fish8_TimeLeft,658.175
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,15
Pond6Fish9_CatchTime,1.41
Pond6Fish9_PondTime,114.485
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,498
Pond6Fish9_TimeLeft,635.804
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,20
Pond6Fish10_CatchTime,1.244
Pond6Fish10_PondTime,146.853
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,510
Pond6Fish10_TimeLeft,603.436
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,25.859
PondTime,172.156
TimeLeft,577.63
PondOutcome,120
TotalOutcome,510
PondStart,PondStart
PondIntroTime,16.924443622119725
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.413
Pond11Fish1_PondTime,8.887
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,522
Pond11Fish1_TimeLeft,551.192
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.102
Pond11Fish2_PondTime,16.268
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,534
Pond11Fish2_TimeLeft,543.812
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.969
Pond11Fish3_PondTime,24.097
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,546
Pond11Fish3_TimeLeft,535.983
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,1.299
