,5c0909b43329c500019bc149
Pond8Fish6_CatchTime,1.258
Pond8Fish6_PondTime,55.426
Pond8Fish6_PondOutcome,62
Pond8Fish6_TotalOutcome,464
Pond8Fish6_TimeLeft,715.773
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,1.082
Pond8Fish7_PondTime,67.817
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,476
Pond8Fish7_TimeLeft,703.382
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,0.901
Pond8Fish8_PondTime,82.206
Pond8Fish8_PondOutcome,86
Pond8Fish8_TotalOutcome,488
Pond8Fish8_TimeLeft,688.993
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,0.91
Pond8Fish9_PondTime,99.588
Pond8Fish9_PondOutcome,98
Pond8Fish9_TotalOutcome,500
Pond8Fish9_TimeLeft,671.611
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,21.011
PondTime,119.721
TimeLeft,650.97
PondOutcome,98
TotalOutcome,500
PondStart,PondStart
PondIntroTime,13.532768720760942
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.156
Pond1Fish1_PondTime,7.808
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,512
Pond1Fish1_TimeLeft,628.978
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.076
Pond1Fish2_PondTime,13.932
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,524
Pond1Fish2_TimeLeft,622.854
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.613
Pond1Fish3_PondTime,20.293
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,536
Pond1Fish3_TimeLeft,616.493
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.061
Pond1Fish4_PondTime,26.948
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,548
Pond1Fish4_TimeLeft,609.838
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.107
Pond1Fish5_PondTime,33.953
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,560
Pond1Fish5_TimeLeft,602.833
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.014
Pond1Fish6_PondTime,41.335
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,572
Pond1Fish6_TimeLeft,595.451
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.786
Pond1Fish7_PondTime,49.172
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,584
Pond1Fish7_TimeLeft,587.614
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.143
Pond1Fish8_PondTime,57.556
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,596
Pond1Fish8_TimeLeft,579.229
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.2
Pond1Fish9_PondTime,66.613
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,608
Pond1Fish9_TimeLeft,570.173
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.116
Pond1Fish10_PondTime,76.507
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,620
Pond1Fish10_TimeLeft,560.279
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,1.376
Pond1Fish11_PondTime,87.468
Pond1Fish11_PondOutcome,132
Pond1Fish11_TotalOutcome,632
Pond1Fish11_TimeLeft,549.318
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,gray
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,0.888
Pond1Fish12_PondTime,99.858
Pond1Fish12_PondOutcome,134
Pond1Fish12_TotalOutcome,634
Pond1Fish12_TimeLeft,536.928
Type,RD
FishN,19
Fish,13
Pond1Fish13_FishType,blue
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,0.88
Pond1Fish13_PondTime,114.258
Pond1Fish13_PondOutcome,146
Pond1Fish13_TotalOutcome,646
Pond1Fish13_TimeLeft,522.528
PondEnd_LastFish,13
FishN,18
Type,RD
GiveUpTime,14.335
PondTime,127.675
TimeLeft,508.606
PondOutcome,146
TotalOutcome,646
PondStart,PondStart
PondIntroTime,16.122404157649726
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,gray
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.223
Pond4Fish1_PondTime,8.043
Pond4Fish1_PondOutcome,2
Pond4Fish1_TotalOutcome,648
Pond4Fish1_TimeLeft,483.796
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,gray
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,1.049
Pond4Fish2_PondTime,14.423
Pond4Fish2_PondOutcome,4
Pond4Fish2_TotalOutcome,650
Pond4Fish2_TimeLeft,477.416
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,1.068
Pond4Fish3_PondTime,21.104
Pond4Fish3_PondOutcome,16
Pond4Fish3_TotalOutcome,662
Pond4Fish3_TimeLeft,470.735
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.803
Pond4Fish4_PondTime,28.114
Pond4Fish4_PondOutcome,28
Pond4Fish4_TotalOutcome,674
Pond4Fish4_TimeLeft,463.725
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,1.021
Pond4Fish5_PondTime,35.505
Pond4Fish5_PondOutcome,40
Pond4Fish5_TotalOutcome,686
Pond4Fish5_TimeLeft,456.334
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,0.946
Pond4Fish6_PondTime,43.337
Pond4Fish6_PondOutcome,52
Pond4Fish6_TotalOutcome,698
Pond4Fish6_TimeLeft,448.502
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,1.015
Pond4Fish7_PondTime,51.727
Pond4Fish7_PondOutcome,64
Pond4Fish7_TotalOutcome,710
Pond4Fish7_TimeLeft,440.112
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,1.17
Pond4Fish8_PondTime,60.779
Pond4Fish8_PondOutcome,76
Pond4Fish8_TotalOutcome,722
Pond4Fish8_TimeLeft,431.059
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,0.787
Pond4Fish9_PondTime,70.667
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,734
Pond4Fish9_TimeLeft,421.172
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,2.033
Pond4Fish10_PondTime,81.681
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,746
Pond4Fish10_TimeLeft,410.158
Type,RD
FishN,17
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,1.017
Pond4Fish11_PondTime,94.063
Pond4Fish11_PondOutcome,112
Pond4Fish11_TotalOutcome,758
Pond4Fish11_TimeLeft,397.776
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,13.236
PondTime,106.52
TimeLeft,384.817
PondOutcome,112
TotalOutcome,758
PondStart,PondStart
PondIntroTime,16.296339777763933
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,0.811
Pond2Fish1_PondTime,8.581
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,770
Pond2Fish1_TimeLeft,359.276
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,gray
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,0.957
Pond2Fish2_PondTime,15.58
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,772
Pond2Fish2_TimeLeft,352.277
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,0.815
Pond2Fish3_PondTime,22.965
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,784
Pond2Fish3_TimeLeft,344.892
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,1.106
Pond2Fish4_PondTime,30.799
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,796
Pond2Fish4_TimeLeft,337.058
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,1.098
Pond2Fish5_PondTime,39.175
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,808
Pond2Fish5_TimeLeft,328.682
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,1.277
Pond2Fish6_PondTime,48.222
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,820
Pond2Fish6_TimeLeft,319.635
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,0.883
Pond2Fish7_PondTime,58.106
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,832
Pond2Fish7_TimeLeft,309.751
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,1.058
Pond2Fish8_PondTime,69.05
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,844
Pond2Fish8_TimeLeft,298.807
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,1.099
Pond2Fish9_PondTime,81.431
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,856
Pond2Fish9_TimeLeft,286.426
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,10
Pond2Fish10_CatchTime,0.945
Pond2Fish10_PondTime,95.816
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,868
Pond2Fish10_TimeLeft,272.041
Type,RD
FishN,17
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,12
Pond2Fish11_CatchTime,0.891
Pond2Fish11_PondTime,113.199
Pond2Fish11_PondOutcome,122
Pond2Fish11_TotalOutcome,880
Pond2Fish11_TimeLeft,254.658
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,2.106
PondTime,114.409
TimeLeft,252.943
PondOutcome,122
TotalOutcome,880
PondStart,PondStart
PondIntroTime,11.860875377897173
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,0.878
Pond10Fish1_PondTime,7.828
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,892
Pond10Fish1_TimeLeft,232.624
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,gray
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,1.015
Pond10Fish2_PondTime,13.954
Pond10Fish2_PondOutcome,14
Pond10Fish2_TotalOutcome,894
Pond10Fish2_TimeLeft,226.498
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,0.9
Pond10Fish3_PondTime,20.338
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,906
Pond10Fish3_TimeLeft,220.114
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4
