,5788e1834a84da00014c4199
Pond12Fish11_CatchTime,0.996
Pond12Fish11_PondTime,88.65
Pond12Fish11_PondOutcome,122
Pond12Fish11_TotalOutcome,494
Pond12Fish11_TimeLeft,799.054
PondEnd_LastFish,11
FishN,18
Type,RD
GiveUpTime,0.973
PondTime,88.817
TimeLeft,798.383
PondOutcome,122
TotalOutcome,494
PondStart,PondStart
PondIntroTime,10.062270851340145
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,0.894
Pond11Fish1_PondTime,7.675
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,506
Pond11Fish1_TimeLeft,779.998
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,1.048
Pond11Fish2_PondTime,13.656
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,518
Pond11Fish2_TimeLeft,774.017
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,0.86
Pond11Fish3_PondTime,19.873
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,530
Pond11Fish3_TimeLeft,767.8
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,0.852
Pond11Fish4_PondTime,26.27
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,542
Pond11Fish4_TimeLeft,761.402
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,1.08
Pond11Fish5_PondTime,32.97
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,554
Pond11Fish5_TimeLeft,754.702
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,-1
Pond11Fish6_PondTime,40.069
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,554
Pond11Fish6_TimeLeft,747.604
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,4.615384615384615
Pond11Fish7_CatchTime,1.058
Pond11Fish7_PondTime,47.47
Pond11Fish7_PondOutcome,72
Pond11Fish7_TotalOutcome,566
Pond11Fish7_TimeLeft,740.203
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,gray
Pond11Fish8_FishLatency,5
Pond11Fish8_CatchTime,1.022
Pond11Fish8_PondTime,55.354
Pond11Fish8_PondOutcome,74
Pond11Fish8_TotalOutcome,568
Pond11Fish8_TimeLeft,732.319
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,5.454545454545454
Pond11Fish9_CatchTime,0.872
Pond11Fish9_PondTime,64.035
Pond11Fish9_PondOutcome,86
Pond11Fish9_TotalOutcome,580
Pond11Fish9_TimeLeft,723.637
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,6
Pond11Fish10_CatchTime,0.95
Pond11Fish10_PondTime,73.646
Pond11Fish10_PondOutcome,98
Pond11Fish10_TotalOutcome,592
Pond11Fish10_TimeLeft,714.027
Type,RD
FishN,16
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,6.666666666666667
Pond11Fish11_CatchTime,1.082
Pond11Fish11_PondTime,83.65
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,604
Pond11Fish11_TimeLeft,704.023
PondEnd_LastFish,11
FishN,19
Type,RD
GiveUpTime,1.367
PondTime,84.303
TimeLeft,702.855
PondOutcome,110
TotalOutcome,604
PondStart,PondStart
PondIntroTime,10.753498263657093
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,1.547
Pond1Fish1_PondTime,8.27
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,616
Pond1Fish1_TimeLeft,683.125
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,0.927
Pond1Fish2_PondTime,14.668
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,628
Pond1Fish2_TimeLeft,676.726
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
