,5c74edf1280f66001ad7ca29
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,1.138
Pond2Fish6_PondTime,61.517
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,376
Pond2Fish6_TimeLeft,868.821
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,gray
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,1.811
Pond2Fish7_PondTime,75.999
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,378
Pond2Fish7_TimeLeft,854.339
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,gray
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,1.304
Pond2Fish8_PondTime,93.369
Pond2Fish8_PondOutcome,76
Pond2Fish8_TotalOutcome,380
Pond2Fish8_TimeLeft,836.969
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,15
Pond2Fish9_CatchTime,0.945
Pond2Fish9_PondTime,115.735
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,392
Pond2Fish9_TimeLeft,814.603
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,1.136
PondTime,116.017
TimeLeft,813.813
PondOutcome,88
TotalOutcome,392
PondStart,PondStart
PondIntroTime,18.078549031633884
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.298
Pond12Fish1_PondTime,8.562
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,404
Pond12Fish1_TimeLeft,786.556
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.264
Pond12Fish2_PondTime,15.533
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,416
Pond12Fish2_TimeLeft,779.585
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.986
Pond12Fish3_PondTime,22.898
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,428
Pond12Fish3_TimeLeft,772.22
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.107
Pond12Fish4_PondTime,30.713
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,440
Pond12Fish4_TimeLeft,764.405
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.988
Pond12Fish5_PondTime,39.079
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,452
Pond12Fish5_TimeLeft,756.039
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.971
Pond12Fish6_PondTime,48.114
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,464
Pond12Fish6_TimeLeft,747.004
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.095
Pond12Fish7_PondTime,57.982
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,476
Pond12Fish7_TimeLeft,737.136
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.201
Pond12Fish8_PondTime,68.915
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,488
Pond12Fish8_TimeLeft,726.203
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,0.939
Pond12Fish9_PondTime,81.282
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,500
Pond12Fish9_TimeLeft,713.836
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
