,5b49d3a519f8e70001b7df02
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,0.98
Pond11Fish3_PondTime,22.988
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,568
Pond11Fish3_TimeLeft,635.519
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,1.151
Pond11Fish4_PondTime,30.818
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,580
Pond11Fish4_TimeLeft,627.689
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,1.134
Pond11Fish5_PondTime,39.188
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,592
Pond11Fish5_TimeLeft,619.319
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,0.867
Pond11Fish6_PondTime,48.244
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,604
Pond11Fish6_TimeLeft,610.263
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,1.265
Pond11Fish7_PondTime,58.138
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,616
Pond11Fish7_TimeLeft,600.369
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,1.237
Pond11Fish8_PondTime,69.098
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,628
Pond11Fish8_TimeLeft,589.409
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,1.032
Pond11Fish9_PondTime,81.486
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,640
Pond11Fish9_TimeLeft,577.021
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,10
Pond11Fish10_CatchTime,1.162
Pond11Fish10_PondTime,95.858
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,652
Pond11Fish10_TimeLeft,562.649
Type,RD
FishN,16
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,12
Pond11Fish11_CatchTime,1.111
Pond11Fish11_PondTime,113.228
Pond11Fish11_PondOutcome,132
Pond11Fish11_TotalOutcome,664
Pond11Fish11_TimeLeft,545.279
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,0.559
PondTime,135.242
TimeLeft,522.761
PondOutcome,132
TotalOutcome,664
PondStart,PondStart
PondIntroTime,12.504658361431211
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.172
Pond1Fish1_PondTime,9.312
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,676
Pond1Fish1_TimeLeft,500.335
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.912
Pond1Fish2_PondTime,17.147
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,688
Pond1Fish2_TimeLeft,492.499
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,0.982
Pond1Fish3_PondTime,25.535
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,700
Pond1Fish3_TimeLeft,484.112
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.994
Pond1Fish4_PondTime,34.619
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,712
Pond1Fish4_TimeLeft,475.028
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.485
Pond1Fish5_PondTime,44.509
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,724
Pond1Fish5_TimeLeft,465.138
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.362
Pond1Fish6_PondTime,55.456
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,736
Pond1Fish6_TimeLeft,454.191
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,0.935
Pond1Fish7_PondTime,67.817
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,748
Pond1Fish7_TimeLeft,441.829
PondEnd_LastFish,7
FishN,13
Type,RD
GiveUpTime,0.591
PondTime,81.931
TimeLeft,427.207
PondOutcome,84
TotalOutcome,748
PondStart,PondStart
PondIntroTime,19.47711086133495
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.15
Pond8Fish1_PondTime,8.911
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,760
Pond8Fish1_TimeLeft,398.192
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.138
Pond8Fish2_PondTime,16.308
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,772
Pond8Fish2_TimeLeft,390.795
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.846
Pond8Fish3_PondTime,24.134
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,784
Pond8Fish3_TimeLeft,382.969
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.629
Pond8Fish4_PondTime,32.513
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,796
Pond8Fish4_TimeLeft,374.59
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,1.538
Pond8Fish5_PondTime,41.548
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,808
Pond8Fish5_TimeLeft,365.555
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,1.209
Pond8Fish6_PondTime,51.412
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,820
Pond8Fish6_TimeLeft,355.691
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,1.011
Pond8Fish7_PondTime,62.364
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,832
Pond8Fish7_TimeLeft,344.739
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.179
Pond8Fish8_PondTime,74.737
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,844
Pond8Fish8_TimeLeft,332.366
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,1.466
Pond8Fish9_PondTime,89.124
Pond8Fish9_PondOutcome,108
