,5c94b4f457491c00165e25fd
Pond11Fish13_CatchTime,1.15
Pond11Fish13_PondTime,114.462
Pond11Fish13_PondOutcome,134
Pond11Fish13_TotalOutcome,536
Pond11Fish13_TimeLeft,584.034
Type,RD
FishN,16
Fish,14
Pond11Fish14_FishType,blue
Pond11Fish14_FishLatency,12
Pond11Fish14_CatchTime,1.287
Pond11Fish14_PondTime,131.857
Pond11Fish14_PondOutcome,146
Pond11Fish14_TotalOutcome,548
Pond11Fish14_TimeLeft,566.639
Type,RD
FishN,16
Fish,15
Pond11Fish15_FishType,gray
Pond11Fish15_FishLatency,15
Pond11Fish15_CatchTime,1.666
Pond11Fish15_PondTime,154.273
Pond11Fish15_PondOutcome,148
Pond11Fish15_TotalOutcome,550
Pond11Fish15_TimeLeft,544.223
Type,RD
FishN,16
Fish,16
Pond11Fish16_FishType,blue
Pond11Fish16_FishLatency,20
Pond11Fish16_CatchTime,1.651
Pond11Fish16_PondTime,186.664
Pond11Fish16_PondOutcome,160
Pond11Fish16_TotalOutcome,562
Pond11Fish16_TimeLeft,511.832
PondEnd_LastFish,16
FishN,18
Type,RD
GiveUpTime,41.273
PondTime,227.787
TimeLeft,470.204
PondOutcome,160
TotalOutcome,562
PondStart,PondStart
PondIntroTime,18.339535682462156
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.283
Pond4Fish1_PondTime,9.228
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,574
Pond4Fish1_TimeLeft,440.495
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,1.089
Pond4Fish2_PondTime,15.91
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,586
Pond4Fish2_TimeLeft,433.813
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,0.829
Pond4Fish3_PondTime,22.94
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,598
Pond4Fish3_TimeLeft,426.783
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,gray
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,1.155
Pond4Fish4_PondTime,30.343
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,600
Pond4Fish4_TimeLeft,419.38
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,1.621
Pond4Fish5_PondTime,38.197
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,612
Pond4Fish5_TimeLeft,411.526
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,0.872
Pond4Fish6_PondTime,47.947
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,624
Pond4Fish6_TimeLeft,401.776
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,0.941
Pond4Fish7_PondTime,57.968
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,636
Pond4Fish7_TimeLeft,391.755
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,1.007
Pond4Fish8_PondTime,68.057
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,648
Pond4Fish8_TimeLeft,381.665
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,1.019
Pond4Fish9_PondTime,79.027
Pond4Fish9_PondOutcome,98
Pond4Fish9_TotalOutcome,660
