,5de6547d1017855bbe3622cb
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,-1
Pond11Fish10_PondTime,88.001
Pond11Fish10_PondOutcome,74
Pond11Fish10_TotalOutcome,694
Pond11Fish10_TimeLeft,468.263
Type,RD
FishN,16
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,1.897
Pond11Fish11_PondTime,102.565
Pond11Fish11_PondOutcome,86
Pond11Fish11_TotalOutcome,706
Pond11Fish11_TimeLeft,453.699
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,0.524
PondTime,102.989
TimeLeft,452.773
PondOutcome,86
TotalOutcome,706
PondStart,PondStart
PondIntroTime,10.489290172699839
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,-1
Pond1Fish1_PondTime,7.666
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,706
Pond1Fish1_TimeLeft,434.004
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.384
Pond1Fish2_PondTime,13.566
Pond1Fish2_PondOutcome,12
Pond1Fish2_TotalOutcome,718
Pond1Fish2_TimeLeft,428.104
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,-1
Pond1Fish3_PondTime,19.744
Pond1Fish3_PondOutcome,12
Pond1Fish3_TotalOutcome,718
Pond1Fish3_TimeLeft,421.926
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,gray
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,1.383
Pond1Fish4_PondTime,26.11
Pond1Fish4_PondOutcome,14
Pond1Fish4_TotalOutcome,720
Pond1Fish4_TimeLeft,415.56
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,gray
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.267
Pond1Fish5_PondTime,32.758
Pond1Fish5_PondOutcome,16
Pond1Fish5_TotalOutcome,722
Pond1Fish5_TimeLeft,408.912
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,-1
Pond1Fish6_PondTime,39.802
Pond1Fish6_PondOutcome,16
Pond1Fish6_TotalOutcome,722
Pond1Fish6_TimeLeft,401.868
