,5d374fda6cb61f001936bdc9
Pond2Fish9_PondTime,66.587
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,420
Pond2Fish9_TimeLeft,771.052
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,1.401
Pond2Fish10_PondTime,76.456
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,432
Pond2Fish10_TimeLeft,761.183
Type,RD
FishN,17
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,1.83
Pond2Fish11_PondTime,87.53
Pond2Fish11_PondOutcome,132
Pond2Fish11_TotalOutcome,444
Pond2Fish11_TimeLeft,750.109
Type,RD
FishN,17
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,1.143
Pond2Fish12_PondTime,99.898
Pond2Fish12_PondOutcome,144
Pond2Fish12_TotalOutcome,456
Pond2Fish12_TimeLeft,737.741
Type,RD
FishN,17
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,10
Pond2Fish13_CatchTime,1.609
Pond2Fish13_PondTime,114.27
Pond2Fish13_PondOutcome,156
Pond2Fish13_TotalOutcome,468
Pond2Fish13_TimeLeft,723.369
Type,RD
FishN,17
Fish,14
Pond2Fish14_FishType,blue
Pond2Fish14_FishLatency,12
Pond2Fish14_CatchTime,1.75
Pond2Fish14_PondTime,131.69
Pond2Fish14_PondOutcome,168
Pond2Fish14_TotalOutcome,480
Pond2Fish14_TimeLeft,705.949
PondEnd_LastFish,14
FishN,18
Type,RD
GiveUpTime,1.611
PondTime,133.2
TimeLeft,703.937
PondOutcome,168
TotalOutcome,480
PondStart,PondStart
PondIntroTime,17.183833171147853
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,2.038
Pond9Fish1_PondTime,8.62
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,492
Pond9Fish1_TimeLeft,677.523
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.561
Pond9Fish2_PondTime,15.605
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,504
Pond9Fish2_TimeLeft,670.538
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.656
Pond9Fish3_PondTime,22.975
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,516
Pond9Fish3_TimeLeft,663.168
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.388
Pond9Fish4_PondTime,30.794
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,528
Pond9Fish4_TimeLeft,655.349
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.673
Pond9Fish5_PondTime,39.152
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,540
Pond9Fish5_TimeLeft,646.991
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.592
Pond9Fish6_PondTime,48.18
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,552
Pond9Fish6_TimeLeft,637.963
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.505
Pond9Fish7_PondTime,58.053
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,564
Pond9Fish7_TimeLeft,628.09
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.419
Pond9Fish8_PondTime,68.987
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,576
Pond9Fish8_TimeLeft,617.156
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,gray
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.474
Pond9Fish9_PondTime,81.362
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,578
Pond9Fish9_TimeLeft,604.781
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,1.544
Pond9Fish10_PondTime,95.726
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,590
Pond9Fish10_TimeLeft,590.417
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,1.375
PondTime,96.855
TimeLeft,588.786
PondOutcome,110
TotalOutcome,590
PondStart,PondStart
PondIntroTime,11.452505772467703
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,0.992
Pond5Fish1_PondTime,7.806
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,602
Pond5Fish1_TimeLeft,568.903
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.996
Pond5Fish2_PondTime,14.224
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,614
Pond5Fish2_TimeLeft,562.485
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,gray
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,1.773
Pond5Fish3_PondTime,20.674
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,616
Pond5Fish3_TimeLeft,556.035
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,1.043
Pond5Fish4_PondTime,27.327
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,628
Pond5Fish4_TimeLeft,549.382
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,1.323
Pond5Fish5_PondTime,34.311
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,640
Pond5Fish5_TimeLeft,542.398
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,1.26
Pond5Fish6_PondTime,41.68
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,652
Pond5Fish6_TimeLeft,535.028
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.117
Pond5Fish7_PondTime,49.503
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,664
Pond5Fish7_TimeLeft,527.206
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,1.258
Pond5Fish8_PondTime,57.87
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,676
Pond5Fish8_TimeLeft,518.839
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,1.039
Pond5Fish9_PondTime,66.909
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,688
Pond5Fish9_TimeLeft,509.8
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,1.384
Pond5Fish10_PondTime,76.775
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,700
Pond5Fish10_TimeLeft,499.934
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,1.578
Pond5Fish11_PondTime,87.712
Pond5Fish11_PondOutcome,122
Pond5Fish11_TotalOutcome,712
Pond5Fish11_TimeLeft,488.997
Type,RD
FishN,14
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,1.237
Pond5Fish12_PondTime,100.081
Pond5Fish12_PondOutcome,134
Pond5Fish12_TotalOutcome,724
Pond5Fish12_TimeLeft,476.628
Type,RD
FishN,14
Fish,13
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,10
Pond5Fish13_CatchTime,1.624
Pond5Fish13_PondTime,114.436
Pond5Fish13_PondOutcome,146
Pond5Fish13_TotalOutcome,736
Pond5Fish13_TimeLeft,462.272
PondEnd_LastFish,13
FishN,18
Type,RD
GiveUpTime,1.081
PondTime,115.35
TimeLeft,460.856
PondOutcome,146
TotalOutcome,736
PondStart,PondStart
PondIntroTime,18.407354461960495
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.537
Pond1Fish1_PondTime,8.571
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,748
Pond1Fish1_TimeLeft,433.246
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,-1
Pond1Fish2_PondTime,15.621
Pond1Fish2_PondOutcome,12
Pond1Fish2_TotalOutcome,748
Pond1Fish2_TimeLeft,426.196
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.283
Pond1Fish3_PondTime,22.993
Pond1Fish3_PondOutcome,24
Pond1Fish3_TotalOutcome,760
Pond1Fish3_TimeLeft,418.824
Type,RD
FishN,19
Fish,4
