,5d40d474037fb000013a2b83
Pond2Fish2_TotalOutcome,684
Pond2Fish2_TimeLeft,421.299
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.713
Pond2Fish3_PondTime,25.534
Pond2Fish3_PondOutcome,16
Pond2Fish3_TotalOutcome,696
Pond2Fish3_TimeLeft,412.909
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,0.901
Pond2Fish4_PondTime,34.595
Pond2Fish4_PondOutcome,28
Pond2Fish4_TotalOutcome,708
Pond2Fish4_TimeLeft,403.849
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,0.602
Pond2Fish5_PondTime,44.484
Pond2Fish5_PondOutcome,40
Pond2Fish5_TotalOutcome,720
Pond2Fish5_TimeLeft,393.96
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.795
Pond2Fish6_PondTime,55.454
Pond2Fish6_PondOutcome,52
Pond2Fish6_TotalOutcome,732
Pond2Fish6_TimeLeft,382.99
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.835
Pond2Fish7_PondTime,67.854
Pond2Fish7_PondOutcome,64
Pond2Fish7_TotalOutcome,744
Pond2Fish7_TimeLeft,370.59
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,gray
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,0.914
Pond2Fish8_PondTime,82.244
Pond2Fish8_PondOutcome,66
Pond2Fish8_TotalOutcome,746
Pond2Fish8_TimeLeft,356.2
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,0.747
Pond2Fish9_PondTime,99.634
Pond2Fish9_PondOutcome,78
Pond2Fish9_TotalOutcome,758
Pond2Fish9_TimeLeft,338.81
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,15.369
PondTime,113.943
TimeLeft,323.994
PondOutcome,78
TotalOutcome,758
PondStart,PondStart
PondIntroTime,17.30771857779473
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,0.892
Pond3Fish1_PondTime,8.58
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,770
Pond3Fish1_TimeLeft,297.47
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,gray
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,0.868
Pond3Fish2_PondTime,15.58
Pond3Fish2_PondOutcome,14
Pond3Fish2_TotalOutcome,772
Pond3Fish2_TimeLeft,290.47
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,0.579
Pond3Fish3_PondTime,22.97
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,784
Pond3Fish3_TimeLeft,283.08
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,gray
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,0.945
Pond3Fish4_PondTime,30.819
Pond3Fish4_PondOutcome,28
Pond3Fish4_TotalOutcome,786
Pond3Fish4_TimeLeft,275.231
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,0.802
Pond3Fish5_PondTime,39.219
Pond3Fish5_PondOutcome,40
Pond3Fish5_TotalOutcome,798
Pond3Fish5_TimeLeft,266.831
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,0.831
Pond3Fish6_PondTime,48.279
Pond3Fish6_PondOutcome,52
Pond3Fish6_TotalOutcome,810
Pond3Fish6_TimeLeft,257.77
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,0.659
Pond3Fish7_PondTime,58.172
Pond3Fish7_PondOutcome,64
Pond3Fish7_TotalOutcome,822
Pond3Fish7_TimeLeft,247.878
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,0.796
Pond3Fish8_PondTime,69.14
Pond3Fish8_PondOutcome,76
Pond3Fish8_TotalOutcome,834
Pond3Fish8_TimeLeft,236.91
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,0.854
Pond3Fish9_PondTime,81.521
Pond3Fish9_PondOutcome,88
Pond3Fish9_TotalOutcome,846
Pond3Fish9_TimeLeft,224.529
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,10
Pond3Fish10_CatchTime,0.781
Pond3Fish10_PondTime,95.92
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,858
Pond3Fish10_TimeLeft,210.13
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,13.129
PondTime,108.019
TimeLeft,197.528
PondOutcome,100
TotalOutcome,858
PondStart,PondStart
PondIntroTime,14.982935250736773
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,1.689
Pond7Fish1_PondTime,8.594
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,870
Pond7Fish1_TimeLeft,172.863
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,0.825
Pond7Fish2_PondTime,15.574
