,5d02ba68604711000157c04e
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,402
Pond2Fish6_TimeLeft,803.456
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,1.548
Pond2Fish7_PondTime,50.089
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,414
Pond2Fish7_TimeLeft,795.593
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,0.991
Pond2Fish8_PondTime,58.513
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,426
Pond2Fish8_TimeLeft,787.168
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,1.489
Pond2Fish9_PondTime,67.577
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,438
Pond2Fish9_TimeLeft,778.104
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,1.487
Pond2Fish10_PondTime,77.467
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,450
Pond2Fish10_TimeLeft,768.215
Type,RD
FishN,17
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,1.329
Pond2Fish11_PondTime,88.464
Pond2Fish11_PondOutcome,132
Pond2Fish11_TotalOutcome,462
Pond2Fish11_TimeLeft,757.217
Type,RD
FishN,17
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,1.598
Pond2Fish12_PondTime,100.867
Pond2Fish12_PondOutcome,144
Pond2Fish12_TotalOutcome,474
Pond2Fish12_TimeLeft,744.815
Type,RD
FishN,17
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,10
Pond2Fish13_CatchTime,1.164
Pond2Fish13_PondTime,115.265
Pond2Fish13_PondOutcome,156
Pond2Fish13_TotalOutcome,486
Pond2Fish13_TimeLeft,730.415
Type,RD
FishN,17
Fish,14
Pond2Fish14_FishType,blue
Pond2Fish14_FishLatency,12
Pond2Fish14_CatchTime,1.29
Pond2Fish14_PondTime,132.708
Pond2Fish14_PondOutcome,168
Pond2Fish14_TotalOutcome,498
Pond2Fish14_TimeLeft,712.973
PondEnd_LastFish,14
FishN,18
Type,RD
GiveUpTime,1.26
PondTime,133.423
TimeLeft,711.716
PondOutcome,168
TotalOutcome,498
PondStart,PondStart
PondIntroTime,18.043430398683995
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.636
Pond6Fish1_PondTime,7.723
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,510
Pond6Fish1_TimeLeft,685.203
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.513
Pond6Fish2_PondTime,13.665
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,522
Pond6Fish2_TimeLeft,679.261
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.472
Pond6Fish3_PondTime,19.811
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,534
Pond6Fish3_TimeLeft,673.115
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.478
Pond6Fish4_PondTime,26.223
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,546
Pond6Fish4_TimeLeft,666.703
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.652
Pond6Fish5_PondTime,32.901
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,558
Pond6Fish5_TimeLeft,660.025
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.56
Pond6Fish6_PondTime,39.952
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,570
Pond6Fish6_TimeLeft,652.973
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.443
Pond6Fish7_PondTime,47.362
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,582
Pond6Fish7_TimeLeft,645.563
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.363
Pond6Fish8_PondTime,55.209
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,594
Pond6Fish8_TimeLeft,637.717
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.413
Pond6Fish9_PondTime,63.619
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,606
Pond6Fish9_TimeLeft,629.307
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.392
Pond6Fish10_PondTime,72.683
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,618
Pond6Fish10_TimeLeft,620.242
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,1.452
Pond6Fish11_PondTime,82.604
Pond6Fish11_PondOutcome,132
Pond6Fish11_TotalOutcome,630
Pond6Fish11_TimeLeft,610.322
Type,RD
FishN,19
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,1.389
Pond6Fish12_PondTime,93.587
Pond6Fish12_PondOutcome,144
Pond6Fish12_TotalOutcome,642
Pond6Fish12_TimeLeft,599.339
Type,RD
FishN,19
Fish,13
Pond6Fish13_FishType,blue
Pond6Fish13_FishLatency,8.571428571428571
Pond6Fish13_CatchTime,1.6
Pond6Fish13_PondTime,105.989
Pond6Fish13_PondOutcome,156
Pond6Fish13_TotalOutcome,654
Pond6Fish13_TimeLeft,586.937
Type,RD
FishN,19
Fish,14
Pond6Fish14_FishType,blue
Pond6Fish14_FishLatency,10
Pond6Fish14_CatchTime,1.504
Pond6Fish14_PondTime,120.404
Pond6Fish14_PondOutcome,168
Pond6Fish14_TotalOutcome,666
Pond6Fish14_TimeLeft,572.522
Type,RD
FishN,19
Fish,15
Pond6Fish15_FishType,blue
Pond6Fish15_FishLatency,12
Pond6Fish15_CatchTime,1.681
Pond6Fish15_PondTime,137.907
Pond6Fish15_PondOutcome,180
Pond6Fish15_TotalOutcome,678
Pond6Fish15_TimeLeft,555.02
PondEnd_LastFish,15
FishN,19
Type,RD
GiveUpTime,1.073
PondTime,138.785
TimeLeft,553.618
PondOutcome,180
TotalOutcome,678
PondStart,PondStart
PondIntroTime,10.970854815095663
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.499
Pond7Fish1_PondTime,8.922
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,690
Pond7Fish1_TimeLeft,533.039
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,1.473
Pond7Fish2_PondTime,16.332
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,702
Pond7Fish2_TimeLeft,525.628
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,1.565
Pond7Fish3_PondTime,24.179
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,714
Pond7Fish3_TimeLeft,517.783
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,1.597
Pond7Fish4_PondTime,32.589
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,726
Pond7Fish4_TimeLeft,509.372
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.416
Pond7Fish5_PondTime,41.737
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,738
Pond7Fish5_TimeLeft,500.225
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,1.272
Pond7Fish6_PondTime,51.642
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,750
Pond7Fish6_TimeLeft,490.319
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,1.624
Pond7Fish7_PondTime,62.672
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,762
Pond7Fish7_TimeLeft,479.289
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,1.363
Pond7Fish8_PondTime,75.075
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,774
Pond7Fish8_TimeLeft,466.886
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,1.465
Pond7Fish9_PondTime,89.484
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,786
Pond7Fish9_TimeLeft,452.478
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,0.758
PondTime,89.899
TimeLeft,451.523
PondOutcome,108
TotalOutcome,786
PondStart,PondStart
PondIntroTime,10.723710283637047
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.634
Pond4Fish1_PondTime,9.054
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,798
Pond4Fish1_TimeLeft,431.062
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.497
Pond4Fish2_PondTime,16.466
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,810
Pond4Fish2_TimeLeft,423.649
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.922
Pond4Fish3_PondTime,24.549
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,822
Pond4Fish3_TimeLeft,415.568
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.504
Pond4Fish4_PondTime,32.957
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,834
Pond4Fish4_TimeLeft,407.159
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.414
Pond4Fish5_PondTime,42.036
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,836
Pond4Fish5_TimeLeft,398.08
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.299
Pond4Fish6_PondTime,51.942
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,848
Pond4Fish6_TimeLeft,388.175
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.471
Pond4Fish7_PondTime,62.926
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,860
Pond4Fish7_TimeLeft,377.191
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.524
Pond4Fish8_PondTime,75.327
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,872
Pond4Fish8_TimeLeft,364.79
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,1.518
Pond4Fish9_PondTime,89.742
Pond4Fish9_PondOutcome,98
