,5c4e3248ad466000019166df
Pond9Fish15_CatchTime,1.209
Pond9Fish15_PondTime,180.335
Pond9Fish15_PondOutcome,148
Pond9Fish15_TotalOutcome,558
Pond9Fish15_TimeLeft,545.11
PondEnd_LastFish,15
FishN,17
Type,RD
GiveUpTime,1.456
PondTime,181.212
TimeLeft,543.729
PondOutcome,148
TotalOutcome,558
PondStart,PondStart
PondIntroTime,16.49981529219076
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,gray
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,0.978
Pond12Fish1_PondTime,7.814
Pond12Fish1_PondOutcome,2
Pond12Fish1_TotalOutcome,560
Pond12Fish1_TimeLeft,518.776
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,1.31
Pond12Fish2_PondTime,13.931
Pond12Fish2_PondOutcome,14
Pond12Fish2_TotalOutcome,572
Pond12Fish2_TimeLeft,512.659
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,0.975
Pond12Fish3_PondTime,20.298
Pond12Fish3_PondOutcome,26
Pond12Fish3_TotalOutcome,584
Pond12Fish3_TimeLeft,506.292
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,1.079
Pond12Fish4_PondTime,26.961
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,596
Pond12Fish4_TimeLeft,499.629
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,1.082
Pond12Fish5_PondTime,33.952
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,608
Pond12Fish5_TimeLeft,492.638
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,0.871
Pond12Fish6_PondTime,41.316
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,620
Pond12Fish6_TimeLeft,485.274
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,1.56
Pond12Fish7_PondTime,49.13
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,632
Pond12Fish7_TimeLeft,477.46
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,0.892
Pond12Fish8_PondTime,57.494
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,644
Pond12Fish8_TimeLeft,469.096
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,1.041
Pond12Fish9_PondTime,66.529
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,656
Pond12Fish9_TimeLeft,460.061
