,580241d0279ffd000124e3e3
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,344
Pond9Fish2_TimeLeft,783.608
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,0.83
Pond9Fish3_PondTime,25.454
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,356
Pond9Fish3_TimeLeft,775.241
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,0.94
Pond9Fish4_PondTime,34.488
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,368
Pond9Fish4_TimeLeft,766.207
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,0.969
Pond9Fish5_PondTime,44.355
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,380
Pond9Fish5_TimeLeft,756.34
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,0.868
Pond9Fish6_PondTime,55.293
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,392
Pond9Fish6_TimeLeft,745.402
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,0.878
Pond9Fish7_PondTime,67.656
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,404
Pond9Fish7_TimeLeft,733.039
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,0.991
Pond9Fish8_PondTime,82.024
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,416
Pond9Fish8_TimeLeft,718.671
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,0.968
Pond9Fish9_PondTime,99.389
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,428
Pond9Fish9_TimeLeft,701.306
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,0.553
PondTime,121.713
TimeLeft,678.476
PondOutcome,108
TotalOutcome,428
PondStart,PondStart
PondIntroTime,11.368452415335923
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.948
Pond3Fish1_PondTime,9.735
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,440
Pond3Fish1_TimeLeft,656.753
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.868
Pond3Fish2_PondTime,18.104
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,452
Pond3Fish2_TimeLeft,648.384
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.018
Pond3Fish3_PondTime,27.135
