,5bf003ccaf38d100016bb945
Pond5Fish3_TotalOutcome,414
Pond5Fish3_TimeLeft,771.023
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.694
Pond5Fish4_PondTime,37.118
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,426
Pond5Fish4_TimeLeft,761.133
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,0.797
Pond5Fish5_PondTime,48.087
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,438
Pond5Fish5_TimeLeft,750.164
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,0.751
Pond5Fish6_PondTime,60.478
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,450
Pond5Fish6_TimeLeft,737.773
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,0.675
Pond5Fish7_PondTime,74.869
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,462
Pond5Fish7_TimeLeft,723.382
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,0.918
Pond5Fish8_PondTime,92.258
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,474
Pond5Fish8_TimeLeft,705.993
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,15
Pond5Fish9_CatchTime,0.782
Pond5Fish9_PondTime,114.649
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,486
Pond5Fish9_TimeLeft,683.602
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,1.311
PondTime,114.939
TimeLeft,682.81
PondOutcome,108
TotalOutcome,486
PondStart,PondStart
PondIntroTime,18.76177796628326
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.688
Pond6Fish1_PondTime,7.837
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,498
Pond6Fish1_TimeLeft,655.585
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.59
Pond6Fish2_PondTime,13.978
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,510
Pond6Fish2_TimeLeft,649.445
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.595
Pond6Fish3_PondTime,20.368
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,522
Pond6Fish3_TimeLeft,643.055
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.63
Pond6Fish4_PondTime,27.056
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,534
Pond6Fish4_TimeLeft,636.367
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.589
Pond6Fish5_PondTime,34.072
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,546
Pond6Fish5_TimeLeft,629.351
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.471
Pond6Fish6_PondTime,41.463
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,558
Pond6Fish6_TimeLeft,621.96
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.638
Pond6Fish7_PondTime,49.323
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,570
Pond6Fish7_TimeLeft,614.1
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,gray
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,0.594
Pond6Fish8_PondTime,57.72
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,572
Pond6Fish8_TimeLeft,605.703
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,0.606
Pond6Fish9_PondTime,66.767
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,584
Pond6Fish9_TimeLeft,596.656
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,0.557
Pond6Fish10_PondTime,76.65
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,596
Pond6Fish10_TimeLeft,586.773
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,1.105
Pond6Fish11_PondTime,87.625
Pond6Fish11_PondOutcome,122
Pond6Fish11_TotalOutcome,608
Pond6Fish11_TimeLeft,575.798
Type,RD
FishN,19
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,0.721
Pond6Fish12_PondTime,100.011
Pond6Fish12_PondOutcome,134
Pond6Fish12_TotalOutcome,620
Pond6Fish12_TimeLeft,563.412
Type,RD
FishN,19
Fish,13
Pond6Fish13_FishType,blue
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,0.73
