,5e1d9dbece16da10363ada3b
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,1.357
Pond12Fish6_PondTime,51.452
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,564
Pond12Fish6_TimeLeft,557.973
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,1.019
Pond12Fish7_PondTime,62.382
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,576
Pond12Fish7_TimeLeft,547.043
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,0.944
Pond12Fish8_PondTime,74.744
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,588
Pond12Fish8_TimeLeft,534.681
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,0.872
Pond12Fish9_PondTime,89.108
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,600
Pond12Fish9_TimeLeft,520.317
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,12
Pond12Fish10_CatchTime,1.438
Pond12Fish10_PondTime,106.467
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,612
Pond12Fish10_TimeLeft,502.958
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,15
Pond12Fish11_CatchTime,1.039
Pond12Fish11_PondTime,128.826
Pond12Fish11_PondOutcome,122
Pond12Fish11_TotalOutcome,624
Pond12Fish11_TimeLeft,480.599
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,0.495
PondTime,160.675
TimeLeft,448.248
PondOutcome,122
TotalOutcome,624
PondStart,PondStart
PondIntroTime,17.460527359507978
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,0.789
Pond2Fish1_PondTime,8.016
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,636
Pond2Fish1_TimeLeft,422.135
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,gray
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,1.089
Pond2Fish2_PondTime,14.381
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,638
Pond2Fish2_TimeLeft,415.77
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,1.098
Pond2Fish3_PondTime,21.028
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,650
Pond2Fish3_TimeLeft,409.123
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,0.837
Pond2Fish4_PondTime,28.008
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,662
Pond2Fish4_TimeLeft,402.142
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,0.801
Pond2Fish5_PondTime,35.372
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,674
Pond2Fish5_TimeLeft,394.779
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,1.019
Pond2Fish6_PondTime,43.187
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,686
Pond2Fish6_TimeLeft,386.964
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,1.174
Pond2Fish7_PondTime,51.55
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,698
Pond2Fish7_TimeLeft,378.601
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,0.758
Pond2Fish8_PondTime,60.583
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,710
Pond2Fish8_TimeLeft,369.567
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,1.017
Pond2Fish9_PondTime,70.445
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,722
Pond2Fish9_TimeLeft,359.706
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,1.335
Pond2Fish10_PondTime,81.376
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,734
Pond2Fish10_TimeLeft,348.775
Type,RD
FishN,17
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,8.571428571428571
Pond2Fish11_CatchTime,0.916
Pond2Fish11_PondTime,93.74
Pond2Fish11_PondOutcome,122
Pond2Fish11_TotalOutcome,746
Pond2Fish11_TimeLeft,336.411
Type,RD
FishN,17
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,10
Pond2Fish12_CatchTime,1.69
Pond2Fish12_PondTime,108.105
Pond2Fish12_PondOutcome,134
Pond2Fish12_TotalOutcome,758
Pond2Fish12_TimeLeft,322.046
Type,RD
FishN,17
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,12
Pond2Fish13_CatchTime,-1
Pond2Fish13_PondTime,125.524
Pond2Fish13_PondOutcome,134
Pond2Fish13_TotalOutcome,758
Pond2Fish13_TimeLeft,304.627
Type,RD
FishN,17
Fish,14
Pond2Fish14_FishType,blue
Pond2Fish14_FishLatency,15
Pond2Fish14_CatchTime,1.327
Pond2Fish14_PondTime,147.887
Pond2Fish14_PondOutcome,146
Pond2Fish14_TotalOutcome,770
Pond2Fish14_TimeLeft,282.264
Type,RD
FishN,17
Fish,15
Pond2Fish15_FishType,blue
Pond2Fish15_FishLatency,20
Pond2Fish15_CatchTime,1.117
Pond2Fish15_PondTime,180.241
Pond2Fish15_PondOutcome,158
Pond2Fish15_TotalOutcome,782
Pond2Fish15_TimeLeft,249.91
Type,RD
FishN,17
Fish,16
Pond2Fish16_FishType,blue
Pond2Fish16_FishLatency,30
Pond2Fish16_CatchTime,-1
Pond2Fish16_PondTime,242.67
Pond2Fish16_PondOutcome,158
Pond2Fish16_TotalOutcome,782
Pond2Fish16_TimeLeft,187.481
Type,RD
FishN,17
Fish,17
Pond2Fish17_FishType,blue
Pond2Fish17_FishLatency,60
Pond2Fish17_CatchTime,1.145
Pond2Fish17_PondTime,245.037
Pond2Fish17_PondOutcome,170
Pond2Fish17_TotalOutcome,794
Pond2Fish17_TimeLeft,185.114
PondEnd_LastFish,17
FishN,17
Type,RD
GiveUpTime,7.304
PondTime,251.688
TimeLeft,177.961
PondOutcome,170
TotalOutcome,794
PondStart,PondStart
PondIntroTime,12.142007313668728
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.12
Pond6Fish1_PondTime,7.599
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,806
Pond6Fish1_TimeLeft,157.59
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.107
Pond6Fish2_PondTime,13.479
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,818
Pond6Fish2_TimeLeft,151.71
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,0.951
Pond6Fish3_PondTime,19.597
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,830
Pond6Fish3_TimeLeft,145.592
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.829
Pond6Fish4_PondTime,25.959
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,842
Pond6Fish4_TimeLeft,139.23
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,0.93
Pond6Fish5_PondTime,32.609
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,854
Pond6Fish5_TimeLeft,132.58
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,0.903
Pond6Fish6_PondTime,39.588
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,866
Pond6Fish6_TimeLeft,125.601
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,0.987
Pond6Fish7_PondTime,46.955
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,878
Pond6Fish7_TimeLeft,118.234
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,0.845
Pond6Fish8_PondTime,54.766
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,890
Pond6Fish8_TimeLeft,110.423
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,0.713
Pond6Fish9_PondTime,63.13
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,902
Pond6Fish9_TimeLeft,102.059
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,gray
Pond6Fish10_FishLatency,6
