,5d3f689ff771700001843d43
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,-1
Pond5Fish8_PondTime,82.107
Pond5Fish8_PondOutcome,74
Pond5Fish8_TotalOutcome,698
Pond5Fish8_TimeLeft,354.67
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,gray
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,1.443
Pond5Fish9_PondTime,99.472
Pond5Fish9_PondOutcome,76
Pond5Fish9_TotalOutcome,700
Pond5Fish9_TimeLeft,337.305
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,1.331
PondTime,100.447
TimeLeft,335.827
PondOutcome,76
TotalOutcome,700
PondStart,PondStart
PondIntroTime,16.38338018208742
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.116
Pond6Fish1_PondTime,8.565
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,712
Pond6Fish1_TimeLeft,310.248
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.08
Pond6Fish2_PondTime,15.544
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,724
Pond6Fish2_TimeLeft,303.269
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.374
Pond6Fish3_PondTime,22.91
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,736
Pond6Fish3_TimeLeft,295.903
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,0.978
Pond6Fish4_PondTime,30.726
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,748
Pond6Fish4_TimeLeft,288.087
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,1.03
Pond6Fish5_PondTime,39.09
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,760
Pond6Fish5_TimeLeft,279.723
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.122
Pond6Fish6_PondTime,48.119
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,772
Pond6Fish6_TimeLeft,270.694
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,0.927
Pond6Fish7_PondTime,57.983
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,784
Pond6Fish7_TimeLeft,260.83
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,1.156
Pond6Fish8_PondTime,68.932
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,796
Pond6Fish8_TimeLeft,249.881
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.183
Pond6Fish9_PondTime,81.293
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,808
Pond6Fish9_TimeLeft,237.52
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,1.021
Pond6Fish10_PondTime,95.655
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,820
Pond6Fish10_TimeLeft,223.158
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,0.808
PondTime,95.694
TimeLeft,222.616
PondOutcome,120
TotalOutcome,820
PondStart,PondStart
PondIntroTime,13.969287977088243
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,gray
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.098
Pond1Fish1_PondTime,9.731
Pond1Fish1_PondOutcome,2
Pond1Fish1_TotalOutcome,822
Pond1Fish1_TimeLeft,198.3
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.226
Pond1Fish2_PondTime,18.096
Pond1Fish2_PondOutcome,14
Pond1Fish2_TotalOutcome,834
Pond1Fish2_TimeLeft,189.935
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.02
Pond1Fish3_PondTime,27.128
Pond1Fish3_PondOutcome,26
Pond1Fish3_TotalOutcome,846
Pond1Fish3_TimeLeft,180.903
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.1
Pond1Fish4_PondTime,36.99
Pond1Fish4_PondOutcome,38
Pond1Fish4_TotalOutcome,858
Pond1Fish4_TimeLeft,171.041
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.126
Pond1Fish5_PondTime,47.919
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,870
Pond1Fish5_TimeLeft,160.112
Type,RD
