,5c7a926b2ceba0001668b707
FishN,17
Fish,6
Pond2Fish6_FishType,gray
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,0.91
Pond2Fish6_PondTime,60.292
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,462
Pond2Fish6_TimeLeft,356.103
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,0.727
Pond2Fish7_PondTime,74.687
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,474
Pond2Fish7_TimeLeft,341.707
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,1.587
Pond2Fish8_PondTime,92.087
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,486
Pond2Fish8_TimeLeft,324.307
PondEnd_LastFish,8
FishN,12
Type,RD
GiveUpTime,0.87
PondTime,114.319
TimeLeft,301.573
PondOutcome,86
TotalOutcome,486
PondStart,PondStart
PondIntroTime,15.264991133008152
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,0.825
Pond6Fish1_PondTime,7.617
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,498
Pond6Fish1_TimeLeft,278.059
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,0.576
Pond6Fish2_PondTime,13.506
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,510
Pond6Fish2_TimeLeft,272.17
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,0.778
Pond6Fish3_PondTime,19.617
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,522
Pond6Fish3_TimeLeft,266.059
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.87
Pond6Fish4_PondTime,26.018
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,534
Pond6Fish4_TimeLeft,259.658
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,0.834
Pond6Fish5_PondTime,32.703
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,546
Pond6Fish5_TimeLeft,252.973
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,0.761
Pond6Fish6_PondTime,39.714
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,558
Pond6Fish6_TimeLeft,245.962
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,0.754
Pond6Fish7_PondTime,47.8
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,570
Pond6Fish7_TimeLeft,237.876
Type,RD
FishN,19
Fish,8
