,5c448a8452eba20001da07d0
Pond12Fish3_FishType,gray
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.976
Pond12Fish3_PondTime,23.056
Pond12Fish3_PondOutcome,26
Pond12Fish3_TotalOutcome,370
Pond12Fish3_TimeLeft,782.53
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.247
Pond12Fish4_PondTime,30.916
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,382
Pond12Fish4_TimeLeft,774.67
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.983
Pond12Fish5_PondTime,39.321
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,394
Pond12Fish5_TimeLeft,766.265
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,gray
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.324
Pond12Fish6_PondTime,48.385
Pond12Fish6_PondOutcome,52
Pond12Fish6_TotalOutcome,396
Pond12Fish6_TimeLeft,757.201
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.004
Pond12Fish7_PondTime,58.299
Pond12Fish7_PondOutcome,64
Pond12Fish7_TotalOutcome,408
Pond12Fish7_TimeLeft,747.287
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.025
Pond12Fish8_PondTime,69.283
Pond12Fish8_PondOutcome,76
Pond12Fish8_TotalOutcome,420
Pond12Fish8_TimeLeft,736.302
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,0.909
Pond12Fish9_PondTime,81.689
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,432
Pond12Fish9_TimeLeft,723.896
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,1.324
Pond12Fish10_PondTime,96.096
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,444
Pond12Fish10_TimeLeft,709.49
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,9.029
PondTime,104.645
TimeLeft,700.429
PondOutcome,100
TotalOutcome,444
PondStart,PondStart
PondIntroTime,15.110389119945467
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.187
Pond6Fish1_PondTime,9.773
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,456
Pond6Fish1_TimeLeft,674.911
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,gray
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,-1
Pond6Fish2_PondTime,18.226
Pond6Fish2_PondOutcome,12
Pond6Fish2_TotalOutcome,456
Pond6Fish2_TimeLeft,666.459
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.643
Pond6Fish3_PondTime,27.306
Pond6Fish3_PondOutcome,24
Pond6Fish3_TotalOutcome,468
Pond6Fish3_TimeLeft,657.378
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.433
Pond6Fish4_PondTime,37.202
Pond6Fish4_PondOutcome,36
Pond6Fish4_TotalOutcome,480
Pond6Fish4_TimeLeft,647.483
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.471
Pond6Fish5_PondTime,48.186
Pond6Fish5_PondOutcome,48
Pond6Fish5_TotalOutcome,492
Pond6Fish5_TimeLeft,636.498
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.489
Pond6Fish6_PondTime,60.592
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,504
Pond6Fish6_TimeLeft,624.092
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,0.567
Pond6Fish7_PondTime,74.983
Pond6Fish7_PondOutcome,72
Pond6Fish7_TotalOutcome,516
Pond6Fish7_TimeLeft,609.702
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,gray
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,1.099
Pond6Fish8_PondTime,92.379
Pond6Fish8_PondOutcome,74
Pond6Fish8_TotalOutcome,518
Pond6Fish8_TimeLeft,592.306
PondEnd_LastFish,8
FishN,12
Type,RD
GiveUpTime,19.528
PondTime,111.211
TimeLeft,572.963
PondOutcome,74
TotalOutcome,518
PondStart,PondStart
PondIntroTime,18.777161464095116
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.413
Pond10Fish1_PondTime,8.065
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,530
Pond10Fish1_TimeLeft,545.466
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.268
Pond10Fish2_PondTime,14.485
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,542
Pond10Fish2_TimeLeft,539.047
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,0.908
Pond10Fish3_PondTime,21.187
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,554
Pond10Fish3_TimeLeft,532.344
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.008
Pond10Fish4_PondTime,28.219
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,566
Pond10Fish4_TimeLeft,525.313
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.963
Pond10Fish5_PondTime,35.625
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,578
Pond10Fish5_TimeLeft,517.906
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.293
Pond10Fish6_PondTime,43.484
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,590
Pond10Fish6_TimeLeft,510.047
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.159
Pond10Fish7_PondTime,51.875
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,602
